episode,global_step,epsilon,reward,coverage,final_health,length,new_tile_rate,revisit_rate,wall_hit_rate,turn_streak_rate,hazard_contact_rate,action_forward_rate,action_left_rate,action_right_rate,coverage_at_step_50,coverage_at_step_100,coverage_at_step_150,mean_loss,mean_q_loss,mean_aux_loss,aux_weight,eval_reward_mean,eval_coverage_mean,eval_final_health_mean,eval_length_mean,eval_survival_rate,eval_death_rate,eval_new_tile_rate_mean,eval_revisit_rate_mean,eval_wall_hit_rate_mean,eval_turn_streak_rate_mean,eval_hazard_contact_rate_mean,eval_action_forward_rate_mean,eval_action_left_rate_mean,eval_action_right_rate_mean,eval_coverage_at_step_50_mean,eval_coverage_at_step_100_mean,eval_coverage_at_step_150_mean,holdout_eval_reward_mean,holdout_eval_coverage_mean,holdout_eval_final_health_mean,holdout_eval_length_mean,holdout_eval_survival_rate,holdout_eval_death_rate,holdout_eval_new_tile_rate_mean,holdout_eval_revisit_rate_mean,holdout_eval_wall_hit_rate_mean,holdout_eval_turn_streak_rate_mean,holdout_eval_hazard_contact_rate_mean,holdout_eval_action_forward_rate_mean,holdout_eval_action_left_rate_mean,holdout_eval_action_right_rate_mean,holdout_eval_coverage_at_step_50_mean,holdout_eval_coverage_at_step_100_mean,holdout_eval_coverage_at_step_150_mean,eval_soft_score
11,1638,0.98271,-6.628282537460331,0.23555555555555555,0,161,0.32298136645962733,0.08074534161490683,0.17391304347826086,0.12422360248447205,0.0,0.577639751552795,0.22981366459627328,0.19254658385093168,0.10666666666666667,0.17777777777777778,0.23555555555555555,0.0,0.0,0.0,0.148625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,1722,0.9818233333333334,-5.346984948635101,0.1288888888888889,0,84,0.3333333333333333,0.13095238095238096,0.09523809523809523,0.08333333333333333,0.011904761904761904,0.5595238095238095,0.2261904761904762,0.21428571428571427,0.09777777777777778,nan,nan,0.0,0.0,0.0,0.1485,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,1879,0.9801661111111111,-4.392619655132295,0.2222222222222222,0,157,0.31210191082802546,0.20382165605095542,0.06369426751592357,0.10191082802547771,0.0,0.5796178343949044,0.20382165605095542,0.21656050955414013,0.13333333333333333,0.14666666666666667,0.21333333333333335,0.0,0.0,0.0,0.148375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,1975,0.9791527777777778,-2.8383582451343536,0.21333333333333335,0,96,0.4895833333333333,0.10416666666666667,0.0625,0.07291666666666667,0.010416666666666666,0.65625,0.15625,0.1875,0.09777777777777778,nan,nan,0.0,0.0,0.0,0.14825,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,2161,0.9771894444444444,-5.630877008676528,0.27111111111111114,-1,186,0.3225806451612903,0.16666666666666666,0.08064516129032258,0.12903225806451613,0.005376344086021506,0.5698924731182796,0.23655913978494625,0.1935483870967742,0.12,0.15555555555555556,0.21333333333333335,0.0,0.0,0.0,0.148125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,2284,0.9758911111111112,-1.35818622636795,0.28888888888888886,0,123,0.5203252032520326,0.08130081300813008,0.04878048780487805,0.032520325203252036,0.008130081300813009,0.6504065040650406,0.16260162601626016,0.18699186991869918,0.10666666666666667,0.21777777777777776,nan,0.0,0.0,0.0,0.148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,2382,0.9748566666666667,-5.882487170457838,0.1288888888888889,0,98,0.2857142857142857,0.11224489795918367,0.19387755102040816,0.08163265306122448,0.01020408163265306,0.5918367346938775,0.22448979591836735,0.1836734693877551,0.08444444444444445,nan,nan,0.0,0.0,0.0,0.147875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,2519,0.9734105555555556,-4.374414828777313,0.26222222222222225,0,137,0.4233576642335766,0.10218978102189781,0.08759124087591241,0.10218978102189781,0.0,0.6131386861313869,0.17518248175182483,0.2116788321167883,0.14222222222222222,0.20444444444444446,nan,0.0,0.0,0.0,0.14775,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,2619,0.972355,-3.30101558828354,0.16444444444444445,0,100,0.36,0.12,0.11,0.07,0.02,0.59,0.17,0.24,0.12,0.16444444444444445,nan,0.0,0.0,0.0,0.147625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,2692,0.9715844444444445,-2.6353677206039423,0.1511111111111111,0,73,0.4520547945205479,0.1232876712328767,0.0136986301369863,0.0958904109589041,0.0273972602739726,0.589041095890411,0.2328767123287671,0.1780821917808219,0.08444444444444445,nan,nan,0.031887582316994664,0.0070646149571985005,0.16829131096601485,0.1475,-65.81592469451428,0.035555555555555556,0.0,108.4,0.0,1.0,0.07063109452736319,0.0,0.9293689054726368,0.0,0.0032782515991471215,1.0,0.0,0.0,0.035555555555555556,0.035555555555555556,nan,-59.75608350169658,0.035555555555555556,0.0,103.3,0.0,1.0,0.07287276477297491,0.0,0.927127235227025,0.0,0.00418579179296467,1.0,0.0,0.0,0.035555555555555556,0.035555555555555556,nan,0.035555555555555556
