episode,coverage,steps,forward_actions,repeat_forwards,unique_per_forward,health_loss,survived,shaped_reward,loss,policy_loss,value_loss,imitation_loss,approx_kl,residual_limit,imitation_weight,eval_coverage,eval_coverage_p10,eval_unique_per_forward,eval_survived
1,0.6118626430801248,781.0,669.0,82.0,0.8774289985052317,62.0,0.0,551.1427786765123,nan,nan,nan,nan,nan,0.15070833333333333,0.49965,0.6516961498439126,0.6295525494276795,0.9309867399250511,0.0
2,0.6399583766909469,803.0,689.0,75.0,0.8911465892597968,62.0,0.0,579.9967709956182,nan,nan,nan,nan,nan,0.15141666666666667,0.4993,nan,nan,nan,nan
3,0.6514047866805411,805.0,679.0,54.0,0.9204712812960235,63.0,0.0,597.2711296300901,nan,nan,nan,nan,nan,0.15212499999999998,0.49895,nan,nan,nan,nan
4,0.6503642039542143,807.0,689.0,65.0,0.9056603773584906,63.0,0.0,592.7445443944935,nan,nan,nan,nan,nan,0.15283333333333332,0.4986,nan,nan,nan,nan
5,0.6503642039542143,795.0,681.0,57.0,0.9162995594713657,63.0,0.0,595.2707881674775,nan,nan,nan,nan,nan,0.15354166666666666,0.49825,nan,nan,nan,nan
6,0.6586888657648283,797.0,701.0,69.0,0.9015691868758916,63.0,0.0,600.3076991243371,nan,nan,nan,nan,nan,0.15425,0.4979,nan,nan,nan,nan
7,0.6451612903225806,795.0,681.0,62.0,0.908957415565345,64.0,0.0,588.0171564207088,nan,nan,nan,nan,nan,0.15495833333333334,0.49755,nan,nan,nan,nan
8,0.6482830385015609,817.0,699.0,77.0,0.8898426323319027,64.0,0.0,586.1118845314998,nan,nan,nan,nan,nan,0.15566666666666668,0.4972,nan,nan,nan,nan
9,0.6253902185223725,784.0,669.0,69.0,0.8968609865470852,61.0,0.0,568.4808678574572,nan,nan,nan,nan,nan,0.156375,0.49685,nan,nan,nan,nan
10,0.6378772112382934,793.0,682.0,70.0,0.8973607038123167,62.0,0.0,579.4993804965029,nan,nan,nan,nan,nan,0.15708333333333332,0.4965,nan,nan,nan,nan
11,0.6493236212278877,795.0,691.0,68.0,0.9015918958031838,59.0,0.0,592.4457574315057,nan,nan,nan,nan,nan,0.15779166666666666,0.49615,nan,nan,nan,nan
12,0.631633714880333,750.0,657.0,51.0,0.9223744292237442,60.0,0.0,580.6848560090069,nan,nan,nan,nan,nan,0.1585,0.4958,nan,nan,nan,nan
