episode,global_step,epsilon,reward,coverage,final_health,length,new_tile_rate,revisit_rate,wall_hit_rate,turn_streak_rate,hazard_contact_rate,action_forward_rate,action_left_rate,action_right_rate,max_no_new_tile_streak,stagnation_step_rate,coverage_gain_25,energy_spent,coverage_gain_per_energy,new_tiles_per_energy,obs_novelty_mean,turn_oscillation_rate,forward_after_turn_success_rate,coverage_at_step_50,coverage_at_step_100,coverage_at_step_150,mean_loss,mean_q_loss,mean_aux_loss,mean_imitation_loss,aux_weight,eval_reward_mean,eval_coverage_mean,eval_final_health_mean,eval_length_mean,eval_survival_rate,eval_death_rate,eval_new_tile_rate_mean,eval_revisit_rate_mean,eval_wall_hit_rate_mean,eval_turn_streak_rate_mean,eval_hazard_contact_rate_mean,eval_action_forward_rate_mean,eval_action_left_rate_mean,eval_action_right_rate_mean,eval_max_no_new_tile_streak_mean,eval_stagnation_step_rate_mean,eval_coverage_gain_25_mean,eval_energy_spent_mean,eval_coverage_gain_per_energy_mean,eval_new_tiles_per_energy_mean,eval_obs_novelty_mean_mean,eval_turn_oscillation_rate_mean,eval_forward_after_turn_success_rate_mean,eval_coverage_at_step_50_mean,eval_coverage_at_step_100_mean,eval_coverage_at_step_150_mean,holdout_eval_reward_mean,holdout_eval_coverage_mean,holdout_eval_final_health_mean,holdout_eval_length_mean,holdout_eval_survival_rate,holdout_eval_death_rate,holdout_eval_new_tile_rate_mean,holdout_eval_revisit_rate_mean,holdout_eval_wall_hit_rate_mean,holdout_eval_turn_streak_rate_mean,holdout_eval_hazard_contact_rate_mean,holdout_eval_action_forward_rate_mean,holdout_eval_action_left_rate_mean,holdout_eval_action_right_rate_mean,holdout_eval_max_no_new_tile_streak_mean,holdout_eval_stagnation_step_rate_mean,holdout_eval_coverage_gain_25_mean,holdout_eval_energy_spent_mean,holdout_eval_coverage_gain_per_energy_mean,holdout_eval_new_tiles_per_energy_mean,holdout_eval_obs_novelty_mean_mean,holdout_eval_turn_oscillation_rate_mean,holdout_eval_forward_after_turn_success_rate_mean,holdout_eval_coverage_at_step_50_mean,holdout_eval_coverage_at_step_100_mean,holdout_eval_coverage_at_step_150_mean,eval_soft_score
11,1475,0.9844305555555556,-3.264353859901429,0.31555555555555553,0,123,0.5691056910569106,0.008130081300813009,0.11382113821138211,0.04065040650406504,0.008130081300813009,0.6910569105691057,0.13008130081300814,0.17886178861788618,10.0,0.07317073170731707,0.06268599033816424,92.20337009429919,0.0033741837287826716,0.7591913389761011,0.9651124637161979,0.0,0.8181818181818182,0.13777777777777778,0.28888888888888886,nan,0.0,0.0,0.0,0.0,0.148625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,1602,0.98309,-13.542727298021315,0.15555555555555556,0,127,0.2677165354330709,0.015748031496062992,0.3464566929133858,0.11811023622047244,0.0,0.6299212598425197,0.2047244094488189,0.16535433070866143,39.0,0.4409448818897638,0.025185185185185185,100.34025998115514,0.0015059868405711847,0.33884703912851655,0.8095650315240105,0.0,0.40625,0.1288888888888889,0.15555555555555556,nan,0.0,0.0,0.0,0.0,0.1485,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,1763,0.9813905555555555,-14.03681852006912,0.24444444444444444,0,161,0.33540372670807456,0.043478260869565216,0.2919254658385093,0.09937888198757763,0.0,0.6708074534161491,0.14285714285714285,0.18633540372670807,42.0,0.2981366459627329,0.03428571428571429,110.00779542922947,0.0021816635726910594,0.4908743038554884,0.8468588740473264,0.006211180124223602,0.6216216216216216,0.1288888888888889,0.23555555555555555,0.24444444444444444,0.0,0.0,0.0,0.0,0.148375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,1878,0.9801766666666667,-4.959941800355912,0.23555555555555555,0,115,0.45217391304347826,0.017391304347826087,0.17391304347826086,0.05217391304347826,0.017391304347826087,0.6434782608695652,0.1391304347826087,0.21739130434782608,20.0,0.2,0.047407407407407405,80.7137314319609,0.0028633431636837458,0.6442522118288428,0.9627373766000139,0.0,0.6857142857142857,0.16,0.22666666666666666,nan,0.0,0.0,0.0,0.0,0.14825,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,2022,0.9786566666666666,-1.3058139147758487,0.37333333333333335,0,144,0.5763888888888888,0.041666666666666664,0.0625,0.04861111111111111,0.0,0.6805555555555556,0.1527777777777778,0.16666666666666666,13.0,0.05555555555555555,0.06382066276803118,100.25537061691263,0.003679492546074724,0.8278858228668128,0.9570670438083211,0.006944444444444444,0.8157894736842105,0.1511111111111111,0.28,nan,0.0,0.0,0.0,0.0,0.148125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,2158,0.9772211111111111,-10.46926267433166,0.19555555555555557,0,136,0.3161764705882353,0.029411764705882353,0.27205882352941174,0.1323529411764706,0.0,0.6176470588235294,0.16911764705882354,0.21323529411764705,42.0,0.3235294117647059,0.03656565656565657,100.50726356506352,0.0019014656685722527,0.42782977542875683,0.8838396013467827,0.007352941176470588,0.5294117647058824,0.08444444444444445,0.1288888888888889,nan,0.0,0.0,0.0,0.0,0.148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,2246,0.9762922222222222,-2.9836422533988953,0.2311111111111111,-1,88,0.5795454545454546,0.011363636363636364,0.10227272727272728,0.022727272727272728,0.022727272727272728,0.6931818181818182,0.13636363636363635,0.17045454545454544,12.0,0.07954545454545454,0.06692307692307692,65.6251643180847,0.0034539596056173657,0.7771409112639074,0.9657173598082435,0.0,0.8,0.11555555555555555,nan,nan,0.0,0.0,0.0,0.0,0.147875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,2352,0.9751733333333333,-2.9488147444725064,0.28,0,106,0.5849056603773585,0.009433962264150943,0.12264150943396226,0.03773584905660377,0.009433962264150943,0.7169811320754716,0.1320754716981132,0.1509433962264151,10.0,0.07547169811320754,0.06918518518518521,80.88394994735705,0.0034068014202434434,0.7665303195547747,0.9663239741379753,0.0,0.8461538461538461,0.11555555555555555,0.2577777777777778,nan,0.0,0.0,0.0,0.0,0.14775,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,2446,0.9741811111111112,-2.458068078756333,0.25333333333333335,0,94,0.5957446808510638,0.010638297872340425,0.11702127659574468,0.031914893617021274,0.010638297872340425,0.723404255319149,0.13829787234042554,0.13829787234042554,9.0,0.07446808510638298,0.06678362573099417,70.37207694053642,0.003536756334464835,0.7957701752545878,0.9651407923131793,0.0,0.8695652173913043,0.12444444444444444,nan,nan,0.0,0.0,0.0,0.0,0.147625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,2581,0.9727561111111112,-3.973349961042404,0.3111111111111111,-2,135,0.5111111111111111,0.022222222222222223,0.16296296296296298,0.037037037037037035,0.007407407407407408,0.6962962962962963,0.14074074074074075,0.16296296296296298,13.0,0.1037037037037037,0.052222222222222225,96.17476153373704,0.003188639740573637,0.7174439416290683,0.9261924635351847,0.0,0.7222222222222222,0.1511111111111111,0.28,nan,0.03282015100121498,0.00854081786237657,0.16460565477609634,0.0,0.1475,-65.81592469451428,0.035555555555555556,0.0,108.4,0.0,1.0,0.07063109452736319,0.0,0.9293689054726368,0.0,0.0032782515991471215,1.0,0.0,0.0,101.4,0.8789181236673775,0.006585185185185184,95.77642566204055,0.0003293825679460758,0.07411107778786705,0.0,0.0,0.0,0.035555555555555556,0.035555555555555556,nan,-59.75608350169658,0.035555555555555556,0.0,103.3,0.0,1.0,0.07287276477297491,0.0,0.927127235227025,0.0,0.00418579179296467,1.0,0.0,0.0,96.3,0.8750752603891858,0.006844444444444445,91.68841430187219,0.00034825944822670354,0.07835837585100829,0.0,0.0,0.0,0.035555555555555556,0.035555555555555556,nan,0.05511111111111111
