episode,global_step,epsilon,reward,coverage,final_health,length,new_tile_rate,revisit_rate,wall_hit_rate,turn_streak_rate,hazard_contact_rate,action_forward_rate,action_left_rate,action_right_rate,max_no_new_tile_streak,stagnation_step_rate,coverage_gain_25,energy_spent,coverage_gain_per_energy,new_tiles_per_energy,obs_novelty_mean,turn_oscillation_rate,forward_after_turn_success_rate,coverage_at_step_50,coverage_at_step_100,coverage_at_step_150,mean_loss,mean_ce_loss,mean_td_error,eval_reward_mean,eval_coverage_mean,eval_final_health_mean,eval_length_mean,eval_survival_rate,eval_death_rate,eval_new_tile_rate_mean,eval_revisit_rate_mean,eval_wall_hit_rate_mean,eval_turn_streak_rate_mean,eval_hazard_contact_rate_mean,eval_action_forward_rate_mean,eval_action_left_rate_mean,eval_action_right_rate_mean,eval_max_no_new_tile_streak_mean,eval_stagnation_step_rate_mean,eval_coverage_gain_25_mean,eval_energy_spent_mean,eval_coverage_gain_per_energy_mean,eval_new_tiles_per_energy_mean,eval_obs_novelty_mean_mean,eval_turn_oscillation_rate_mean,eval_forward_after_turn_success_rate_mean,eval_coverage_at_step_50_mean,eval_coverage_at_step_100_mean,eval_coverage_at_step_150_mean,holdout_eval_reward_mean,holdout_eval_coverage_mean,holdout_eval_final_health_mean,holdout_eval_length_mean,holdout_eval_survival_rate,holdout_eval_death_rate,holdout_eval_new_tile_rate_mean,holdout_eval_revisit_rate_mean,holdout_eval_wall_hit_rate_mean,holdout_eval_turn_streak_rate_mean,holdout_eval_hazard_contact_rate_mean,holdout_eval_action_forward_rate_mean,holdout_eval_action_left_rate_mean,holdout_eval_action_right_rate_mean,holdout_eval_max_no_new_tile_streak_mean,holdout_eval_stagnation_step_rate_mean,holdout_eval_coverage_gain_25_mean,holdout_eval_energy_spent_mean,holdout_eval_coverage_gain_per_energy_mean,holdout_eval_new_tiles_per_energy_mean,holdout_eval_obs_novelty_mean_mean,holdout_eval_turn_oscillation_rate_mean,holdout_eval_forward_after_turn_success_rate_mean,holdout_eval_coverage_at_step_50_mean,holdout_eval_coverage_at_step_100_mean,holdout_eval_coverage_at_step_150_mean,eval_soft_score
11,1708,0.9819711111111111,-0.4808200297355628,0.3244444444444444,0,108,0.6666666666666666,0.009259259259259259,0.018518518518518517,0.05555555555555555,0.009259259259259259,0.6944444444444444,0.1574074074074074,0.14814814814814814,4.0,0.0,0.07344444444444444,75.78876218795764,0.004222261859962742,0.9500089184916171,0.9537130654858764,0.0,0.9259259259259259,0.14666666666666667,0.3022222222222222,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,1817,0.9808205555555556,-2.5381588711738576,0.28,0,109,0.5688073394495413,0.05504587155963303,0.06422018348623854,0.05504587155963303,0.009174311926605505,0.6880733944954128,0.22018348623853212,0.09174311926605505,6.0,0.009174311926605505,0.0645925925925926,84.0872273445128,0.003277020354430051,0.7373295797467614,0.971535240600904,0.0,0.7857142857142857,0.13333333333333333,0.25333333333333335,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,1969,0.9842042444444444,-11.898919385910038,0.2577777777777778,0,152,0.375,0.019736842105263157,0.23684210526315788,0.1513157894736842,0.0,0.631578947368421,0.21710526315789475,0.1513157894736842,35.0,0.29605263157894735,0.03619047619047618,100.16113700866681,0.0025292577630325096,0.5690829966823147,0.8749627407302819,0.0,0.6666666666666666,0.10666666666666667,0.2088888888888889,0.2577777777777778,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,2072,0.9781288888888889,-5.847475914001467,0.20444444444444446,0,103,0.4368932038834951,0.0,0.1941747572815534,0.0970873786407767,0.009708737864077669,0.6310679611650486,0.1941747572815534,0.17475728155339806,21.0,0.17475728155339806,0.053037037037037035,70.23310394287107,0.002847659988980179,0.6407234975205403,0.9282902451223011,0.019417475728155338,0.7142857142857143,0.07555555555555556,0.19555555555555557,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,2252,0.9762288888888889,-1.7928736431598635,0.4311111111111111,0,180,0.5333333333333333,0.044444444444444446,0.08888888888888889,0.05,0.0,0.6666666666666666,0.19444444444444445,0.1388888888888889,16.0,0.06111111111111111,0.059999999999999984,120.07498707771285,0.003553335103759178,0.7995003983458149,0.9852612539862586,0.0,0.8,0.14222222222222222,0.27555555555555555,0.36,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,2417,0.9744872222222222,-12.930611784458149,0.17777777777777778,0,165,0.23636363636363636,0.06666666666666667,0.3090909090909091,0.13333333333333333,0.0,0.6121212121212121,0.21818181818181817,0.1696969696969697,96.0,0.5575757575757576,0.028571428571428574,100.24392175674411,0.0017291156440781606,0.3890510199175861,0.8626917708255074,0.006060606060606061,0.38095238095238093,0.10222222222222223,0.10222222222222223,0.13777777777777778,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,2596,0.974140421399177,-4.355385253429414,0.3688888888888889,0,179,0.4581005586592179,0.055865921787709494,0.12849162011173185,0.08379888268156424,0.0,0.6424581005586593,0.2346368715083799,0.12290502793296089,23.0,0.12849162011173185,0.04847222222222221,120.25128812789893,0.0030306905657162056,0.6819053772861462,0.964032536461051,0.0,0.6530612244897959,0.1288888888888889,0.28444444444444444,0.36,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,2778,0.9706766666666666,-4.787135413646704,0.3377777777777778,0,182,0.41208791208791207,0.09340659340659341,0.08241758241758242,0.11538461538461539,0.0,0.5879120879120879,0.2802197802197802,0.13186813186813187,14.0,0.15934065934065933,0.04595238095238097,120.00128965377795,0.0027777479250018977,0.6249932831254269,0.9732363289635971,0.01098901098901099,0.6792452830188679,0.09333333333333334,0.20444444444444446,0.3022222222222222,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,2949,0.9750973333333334,-6.053352435112,0.32,0,171,0.4152046783625731,0.04678362573099415,0.14035087719298245,0.08187134502923976,0.0,0.6023391812865497,0.25146198830409355,0.14619883040935672,30.0,0.1695906432748538,0.04507936507936509,120.26049938201889,0.0026239335207910905,0.5903850421779953,0.9715169124740786,0.011695906432748537,0.7037037037037037,0.13333333333333333,0.24888888888888888,0.32,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,3096,0.9680026488888889,-3.6456042544841774,0.31555555555555553,0,147,0.47619047619047616,0.034013605442176874,0.11564625850340136,0.06802721088435375,0.006802721088435374,0.6258503401360545,0.22448979591836735,0.14965986394557823,16.0,0.08843537414965986,0.052154882154882155,100.6057548046111,0.0030923788774839733,0.695785247433894,0.983177535629221,0.0,0.6666666666666666,0.14222222222222222,0.25333333333333335,nan,3.9281453788280487,3.9281453788280487,5.310723602771759,-68.26230637083054,0.035555555555555556,0.0,119.0,0.0,1.0,0.060223700519501266,0.0,0.8830829996334548,0.04808991405854381,0.0,0.943306700152956,0.056693299847044,0.0,105.4,0.853742441595497,0.005807407407407407,100.46958448410018,0.0003096592949210634,0.06967334135723928,0.29251123604286117,0.0,1.0,0.035555555555555556,0.035555555555555556,nan,-66.44042569084169,0.035555555555555556,0.0,116.9,0.0,1.0,0.06179133449388694,0.0,0.8826192464511522,0.0467620855558342,0.0012658227848101266,0.9444105809450392,0.0555894190549609,0.0,103.6,0.849935330514846,0.005962962962962962,97.40024467468251,0.0003229287023148275,0.07265895802083619,0.2973358078973285,0.0,1.0,0.035555555555555556,0.035555555555555556,nan,0.05511111111111111
