seed,environment_set,environment_variant,seen_fraction,coverage,phase,reached_phase2,final_mode,actions,forward_actions,turns,replans,information_replans,coverage_replans,observation_surprises,object_changes,temperature_changes,smell_changes,direct_hazard_entries,meat_collected,fatigue_health_losses,health,energy,terminated,truncated,neural_phase1_decisions,neural_uncertainty_fallbacks,neural_feasibility_fallbacks,end_reason,phase2_entry_step,phase2_entry_seen_fraction,phase2_entry_coverage,phase2_entry_health,phase2_entry_energy,phase1_forward_actions,phase2_forward_actions,phase1_turns,phase2_turns,wall_bumps,time_energy_cost_total,forward_energy_cost_total,turn_energy_cost_total,thermal_energy_cost_total,meat_health_restored,meat_health_wasted,direct_hazard_health_losses,trace_file
20083,standard,standard,0.9955555555555555,0.6666666666666666,2,True,coverage,208,166,42,63,32,31,38,4,0,161,0,3,16,0.0,9.957343053817745,True,False,0,0,0,health_zero_fatigue,40,0.8177777777777778,0.1511111111111111,9.0,9.868624305725096,33,133,7,35,0,41.60000000000005,99.59999999999977,4.200000000000001,14.642656946182253,6.0,0.0,0,seed_20083.jsonl.gz
20084,standard,standard,1.0,0.64,2,True,coverage,178,148,30,81,49,32,34,5,0,168,0,3,14,0.0,9.273237705230713,True,False,0,0,0,health_zero_fatigue,60,0.8177777777777778,0.22666666666666666,6.0,5.552326107025145,50,98,10,20,0,35.599999999999966,88.79999999999987,3.0000000000000013,13.326762294769287,4.0,2.0,0,seed_20084.jsonl.gz
20085,standard,standard,1.0,0.6488888888888888,2,True,coverage,218,173,45,78,51,27,46,3,0,153,0,3,14,0.0,9.675875663757322,True,False,0,0,0,health_zero_fatigue,64,0.8044444444444444,0.2222222222222222,6.0,1.8957349777221668,52,121,12,33,0,43.60000000000008,103.79999999999973,4.5,8.424124336242679,6.0,0.0,0,seed_20085.jsonl.gz
20086,standard,standard,1.0,0.5955555555555555,2,True,coverage,216,171,45,75,48,27,49,4,0,187,0,3,16,0.0,9.645368242263798,True,False,0,0,0,health_zero_fatigue,60,0.8044444444444444,0.2088888888888889,6.0,4.963419437408447,49,122,11,34,0,43.200000000000074,102.59999999999974,4.5,10.054631757736209,6.0,0.0,0,seed_20086.jsonl.gz
20087,standard,standard,0.96,0.5155555555555555,2,True,coverage,186,149,37,101,78,23,13,3,0,102,0,2,14,0.0,9.345277881622314,True,False,0,0,0,health_zero_fatigue,100,0.8133333333333334,0.28888888888888886,3.0,7.238698196411134,79,70,21,16,0,37.19999999999999,89.39999999999986,3.700000000000002,10.354722118377683,4.0,0.0,0,seed_20087.jsonl.gz
20088,standard,standard,1.0,0.6088888888888889,2,True,coverage,208,172,36,95,65,30,42,5,0,212,0,3,16,0.0,9.804768657684328,True,False,0,0,0,health_zero_fatigue,80,0.8177777777777778,0.25333333333333335,9.0,0.18513021469116542,66,106,14,22,0,41.60000000000005,103.19999999999973,3.600000000000002,11.79523134231567,6.0,0.0,0,seed_20088.jsonl.gz
20089,standard,standard,0.9955555555555555,0.7244444444444444,2,True,coverage,219,184,35,73,42,31,50,5,0,210,0,3,16,0.0,9.11141929626465,True,False,0,0,0,health_zero_fatigue,49,0.8,0.19555555555555557,7.0,2.9553936958312974,43,141,6,29,0,43.80000000000008,110.39999999999966,3.5000000000000018,3.1885807037353517,6.0,0.0,0,seed_20089.jsonl.gz
20090,standard,standard,0.9866666666666667,0.5377777777777778,2,True,coverage,182,148,34,70,42,28,11,2,0,58,0,2,14,0.0,8.975971937179562,True,False,0,0,0,health_zero_fatigue,51,0.8133333333333334,0.19111111111111112,7.0,3.193209648132325,43,105,8,26,0,36.39999999999998,88.79999999999987,3.4000000000000017,12.424028062820437,4.0,0.0,0,seed_20090.jsonl.gz
20091,standard,standard,0.9688888888888889,0.44,2,True,coverage,154,123,31,84,66,18,18,2,0,86,0,2,12,0.0,9.90118503570556,True,False,0,0,0,health_zero_fatigue,83,0.8177777777777778,0.27111111111111114,4.0,9.409921360015865,67,56,16,15,0,30.799999999999923,73.80000000000001,3.1000000000000014,12.398814964294433,2.0,2.0,0,seed_20091.jsonl.gz
20092,standard,standard,0.9822222222222222,0.6,2,True,coverage,184,147,37,89,66,23,47,4,0,171,0,3,14,0.0,9.88878135681152,True,False,0,0,0,health_zero_fatigue,80,0.8088888888888889,0.28444444444444444,9.0,1.3355266571044906,67,80,13,24,0,36.79999999999998,88.19999999999987,3.700000000000002,11.411218643188477,4.0,2.0,0,seed_20092.jsonl.gz
20093,standard,standard,0.9822222222222222,0.5822222222222222,2,True,coverage,216,173,43,92,61,31,44,5,0,248,0,3,16,0.0,9.93820657730102,True,False,0,0,0,health_zero_fatigue,75,0.8,0.25333333333333335,5.0,5.718490123748778,62,111,13,30,0,43.200000000000074,103.79999999999973,4.300000000000001,8.761793422698975,6.0,0.0,0,seed_20093.jsonl.gz
20094,standard,standard,0.9955555555555555,0.6311111111111111,2,True,coverage,203,164,39,78,48,30,53,4,0,214,0,3,15,0.0,9.620161819458009,True,False,0,0,0,health_zero_fatigue,59,0.8088888888888889,0.21333333333333335,9.0,6.121616172790527,49,115,10,29,0,40.60000000000004,98.39999999999978,3.900000000000002,7.479838180541994,5.0,1.0,0,seed_20094.jsonl.gz
20095,standard,standard,0.9911111111111112,0.6666666666666666,2,True,coverage,216,180,36,84,59,25,44,5,0,186,0,3,15,0.0,9.627350521087646,True,False,0,0,0,health_zero_fatigue,73,0.8,0.25333333333333335,7.0,7.469447326660155,60,120,13,23,0,43.200000000000074,107.99999999999969,3.600000000000002,5.572649478912353,6.0,0.0,0,seed_20095.jsonl.gz
20096,standard,standard,0.8977777777777778,0.36444444444444446,2,True,coverage,133,106,27,84,68,16,0,0,0,0,0,0,10,0.0,9.875104570388793,True,False,0,0,0,health_zero_fatigue,84,0.8088888888888889,0.26666666666666666,4.0,7.894638586044308,69,37,15,12,0,26.599999999999937,63.60000000000011,2.700000000000001,7.224895429611207,0.0,0.0,0,seed_20096.jsonl.gz
20097,standard,standard,0.9955555555555555,0.6088888888888889,2,True,coverage,204,167,37,79,57,22,28,3,0,122,0,3,16,0.0,9.916215658187863,True,False,0,0,0,health_zero_fatigue,73,0.8133333333333334,0.2222222222222222,7.0,4.818385601043703,58,109,15,22,0,40.80000000000004,100.19999999999976,3.700000000000002,15.383784341812133,6.0,0.0,0,seed_20097.jsonl.gz
20098,standard,standard,1.0,0.6577777777777778,2,True,coverage,217,175,42,75,39,36,54,5,0,218,0,3,16,0.0,9.414818191528319,True,False,0,0,0,health_zero_fatigue,46,0.8,0.18222222222222223,7.0,6.2,40,135,6,36,0,43.40000000000008,104.99999999999972,4.200000000000001,7.985181808471679,6.0,0.0,0,seed_20098.jsonl.gz
20099,standard,standard,0.9911111111111112,0.6711111111111111,2,True,coverage,209,172,37,72,42,30,39,4,0,155,0,3,16,0.0,9.807719564437859,True,False,0,0,0,health_zero_fatigue,50,0.8177777777777778,0.18666666666666668,7.0,2.5591802597045916,43,129,7,30,0,41.800000000000054,103.19999999999973,3.700000000000002,11.492280435562128,6.0,0.0,0,seed_20099.jsonl.gz
