episode,coverage,steps,forward_actions,repeat_forwards,unique_per_forward,health_loss,survived,shaped_reward,loss,policy_loss,value_loss,imitation_loss,approx_kl,teacher_weight,imitation_weight,eval_coverage,eval_coverage_p10,eval_unique_per_forward,eval_survived
36,0.6355555555555555,185.0,151.0,9.0,0.9403973509933775,14.0,0.0,135.56541848945628,nan,nan,nan,nan,nan,11.568,0.7712,nan,nan,nan,nan
37,0.6977777777777778,196.0,163.0,7.0,0.9570552147239264,14.0,0.0,150.01877278661723,nan,nan,nan,nan,nan,11.556,0.7704,nan,nan,nan,nan
38,0.7333333333333333,206.0,174.0,10.0,0.9425287356321839,16.0,0.0,156.5083828425407,nan,nan,nan,nan,nan,11.544,0.7696000000000001,nan,nan,nan,nan
39,0.7422222222222222,203.0,174.0,8.0,0.9540229885057471,16.0,0.0,159.1555090665817,nan,nan,nan,nan,nan,11.532,0.7688,nan,nan,nan,nan
40,0.6444444444444445,205.0,162.0,18.0,0.8888888888888888,16.0,0.0,133.54733716392516,nan,nan,nan,nan,nan,11.52,0.768,nan,nan,nan,nan
41,0.6266666666666667,201.0,159.0,19.0,0.8805031446540881,16.0,0.0,129.3484539890289,nan,nan,nan,nan,nan,11.508,0.7672,nan,nan,nan,nan
42,0.72,204.0,173.0,12.0,0.930635838150289,16.0,0.0,152.7712180395125,nan,nan,nan,nan,nan,11.495999999999999,0.7664,nan,nan,nan,nan
43,0.64,186.0,153.0,10.0,0.934640522875817,15.0,0.0,135.81648023748403,nan,nan,nan,nan,nan,11.484,0.7656000000000001,nan,nan,nan,nan
44,0.6444444444444445,189.0,151.0,7.0,0.9536423841059603,14.0,0.0,138.04759131813051,nan,nan,nan,nan,nan,11.472,0.7648,nan,nan,nan,nan
45,0.6888888888888889,199.0,166.0,12.0,0.927710843373494,16.0,0.0,145.8203204417228,nan,nan,nan,nan,nan,11.459999999999999,0.764,nan,nan,nan,nan
46,0.6622222222222223,191.0,158.0,10.0,0.9367088607594937,16.0,0.0,140.33860520648958,nan,nan,nan,nan,nan,11.448,0.7632,nan,nan,nan,nan
47,0.6844444444444444,193.0,163.0,10.0,0.9386503067484663,16.0,0.0,145.549344754219,nan,nan,nan,nan,nan,11.436,0.7624,nan,nan,nan,nan
48,0.6577777777777778,191.0,154.0,7.0,0.9545454545454546,16.0,0.0,140.17728136014935,32.20612689426967,0.007882806156495852,57.58450794219971,4.472313778741019,6.17738627169327e-06,11.424,0.7616,nan,nan,nan,nan
49,0.7066666666666667,189.0,163.0,5.0,0.9693251533742331,14.0,0.0,152.80219960117347,nan,nan,nan,nan,nan,11.411999999999999,0.7608,nan,nan,nan,nan
50,0.6711111111111111,204.0,167.0,17.0,0.8982035928143712,16.0,0.0,140.3417457890512,nan,nan,nan,nan,nan,11.399999999999999,0.76,nan,nan,nan,nan
51,0.6933333333333334,205.0,166.0,11.0,0.9337349397590361,16.0,0.0,146.94583930253984,nan,nan,nan,nan,nan,11.388,0.7592,nan,nan,nan,nan
52,0.6844444444444444,189.0,157.0,4.0,0.9745222929936306,15.0,0.0,147.71499865341195,nan,nan,nan,nan,nan,11.376,0.7584,nan,nan,nan,nan
53,0.6933333333333334,204.0,165.0,10.0,0.9393939393939394,16.0,0.0,147.25215040206902,nan,nan,nan,nan,nan,11.363999999999999,0.7576,nan,nan,nan,nan
54,0.6177777777777778,174.0,143.0,5.0,0.965034965034965,14.0,0.0,132.8345131974221,nan,nan,nan,nan,nan,11.352,0.7568,nan,nan,nan,nan
55,0.7288888888888889,216.0,180.0,17.0,0.9055555555555556,16.0,0.0,153.19358879613867,nan,nan,nan,nan,nan,11.34,0.756,nan,nan,nan,nan
56,0.7511111111111111,209.0,176.0,8.0,0.9545454545454546,16.0,0.0,161.10111986351,nan,nan,nan,nan,nan,11.328,0.7552,nan,nan,nan,nan
57,0.5822222222222222,156.0,136.0,6.0,0.9558823529411765,13.0,0.0,125.09251145267497,nan,nan,nan,nan,nan,11.315999999999999,0.7544,nan,nan,nan,nan
58,0.6933333333333334,210.0,169.0,14.0,0.9171597633136095,16.0,0.0,146.10350189161292,nan,nan,nan,nan,nan,11.303999999999998,0.7536,nan,nan,nan,nan
59,0.7555555555555555,210.0,178.0,9.0,0.949438202247191,16.0,0.0,161.6582837991714,nan,nan,nan,nan,nan,11.292000000000002,0.7528000000000001,nan,nan,nan,nan
60,0.6711111111111111,196.0,163.0,13.0,0.9202453987730062,16.0,0.0,141.44449481534957,nan,nan,nan,nan,nan,11.28,0.752,nan,nan,nan,nan
61,0.6666666666666666,201.0,161.0,12.0,0.9254658385093167,16.0,0.0,140.62722958469402,nan,nan,nan,nan,nan,11.268,0.7512000000000001,nan,nan,nan,nan
62,0.7377777777777778,204.0,172.0,7.0,0.9593023255813954,16.0,0.0,158.4191326680182,nan,nan,nan,nan,nan,11.256,0.7504,nan,nan,nan,nan
63,0.6,171.0,141.0,7.0,0.950354609929078,13.0,0.0,128.64714570856106,nan,nan,nan,nan,nan,11.244,0.7496,nan,nan,nan,nan
64,0.6755555555555556,185.0,157.0,6.0,0.9617834394904459,15.0,0.0,145.09804226827634,53.60595512390137,0.0066489053424447775,100.94879136766706,4.173376287732806,1.720152013963218e-05,11.232,0.7488,nan,nan,nan,nan
65,0.64,171.0,148.0,5.0,0.9662162162162162,14.0,0.0,137.95230080842964,nan,nan,nan,nan,nan,11.22,0.7480000000000001,nan,nan,nan,nan
66,0.6977777777777778,204.0,166.0,10.0,0.9397590361445783,16.0,0.0,148.4243968768119,nan,nan,nan,nan,nan,11.207999999999998,0.7472,nan,nan,nan,nan
67,0.5955555555555555,162.0,138.0,5.0,0.9637681159420289,12.0,0.0,128.62851310873037,nan,nan,nan,nan,nan,11.196000000000002,0.7464000000000001,nan,nan,nan,nan
68,0.6622222222222223,201.0,158.0,10.0,0.9367088607594937,16.0,0.0,140.3529585833549,nan,nan,nan,nan,nan,11.184,0.7456,nan,nan,nan,nan
69,0.6666666666666666,186.0,158.0,9.0,0.9430379746835443,15.0,0.0,142.19408454704282,nan,nan,nan,nan,nan,11.172,0.7448000000000001,nan,nan,nan,nan
70,0.7155555555555555,203.0,166.0,6.0,0.963855421686747,16.0,0.0,153.63771092462542,nan,nan,nan,nan,nan,11.16,0.744,nan,nan,nan,nan
71,0.6711111111111111,195.0,157.0,7.0,0.9554140127388535,15.0,0.0,143.54639472532276,nan,nan,nan,nan,nan,11.148,0.7432000000000001,nan,nan,nan,nan
72,0.7288888888888889,194.0,166.0,3.0,0.9819277108433735,15.0,0.0,158.07682712221145,nan,nan,nan,nan,nan,11.136000000000001,0.7424000000000001,nan,nan,nan,nan
73,0.7111111111111111,210.0,174.0,15.0,0.9137931034482759,16.0,0.0,149.95611541843402,nan,nan,nan,nan,nan,11.124,0.7416,nan,nan,nan,nan
74,0.7555555555555555,203.0,173.0,4.0,0.976878612716763,16.0,0.0,163.34945940923677,nan,nan,nan,nan,nan,11.112,0.7408000000000001,nan,nan,nan,nan
75,0.7022222222222222,201.0,166.0,9.0,0.9457831325301205,16.0,0.0,149.7737370057105,nan,nan,nan,nan,nan,11.100000000000001,0.7400000000000001,nan,nan,nan,nan
76,0.7333333333333333,204.0,169.0,5.0,0.9704142011834319,16.0,0.0,157.97141410923004,nan,nan,nan,nan,nan,11.088000000000001,0.7392000000000001,nan,nan,nan,nan
77,0.7244444444444444,198.0,171.0,9.0,0.9473684210526315,16.0,0.0,154.89379412174233,nan,nan,nan,nan,nan,11.076,0.7384000000000001,nan,nan,nan,nan
78,0.7288888888888889,210.0,172.0,9.0,0.9476744186046512,16.0,0.0,155.5622895669938,nan,nan,nan,nan,nan,11.064,0.7376,nan,nan,nan,nan
79,0.7066666666666667,201.0,167.0,9.0,0.9461077844311377,16.0,0.0,150.70863772058485,nan,nan,nan,nan,nan,11.052,0.7368000000000001,nan,nan,nan,nan
80,0.7511111111111111,201.0,173.0,5.0,0.9710982658959537,16.0,0.0,161.99212139749505,56.0963249206543,-0.005627785376938326,106.95535741533551,3.5657052993774414,7.343127249444446e-05,11.040000000000001,0.7360000000000001,nan,nan,nan,nan
81,0.6933333333333334,194.0,162.0,7.0,0.9567901234567902,15.0,0.0,148.81848905086505,nan,nan,nan,nan,nan,11.028,0.7352000000000001,nan,nan,nan,nan
82,0.7022222222222222,196.0,162.0,5.0,0.9691358024691358,14.0,0.0,151.7022745923995,nan,nan,nan,nan,nan,11.016,0.7344,nan,nan,nan,nan
83,0.6577777777777778,203.0,160.0,13.0,0.91875,16.0,0.0,138.29194521665576,nan,nan,nan,nan,nan,11.004000000000001,0.7336,nan,nan,nan,nan
84,0.6044444444444445,166.0,138.0,3.0,0.9782608695652174,13.0,0.0,130.8759618301392,nan,nan,nan,nan,nan,10.992,0.7328000000000001,nan,nan,nan,nan
