episode,global_step,epsilon,reward,coverage,final_health,length,new_tile_rate,revisit_rate,wall_hit_rate,turn_streak_rate,hazard_contact_rate,seen_coverage,center_seen_coverage,action_forward_rate,action_left_rate,action_right_rate,max_no_new_tile_streak,stagnation_step_rate,coverage_gain_25,energy_spent,coverage_gain_per_energy,new_tiles_per_energy,obs_novelty_mean,turn_oscillation_rate,forward_after_turn_success_rate,coverage_at_step_50,coverage_at_step_100,coverage_at_step_150,seen_at_step_50,seen_at_step_100,seen_at_step_150,center_seen_at_step_50,center_seen_at_step_100,center_seen_at_step_150,mean_loss,mean_q_loss,mean_aux_loss,aux_weight,eval_reward_mean,eval_coverage_mean,eval_final_health_mean,eval_length_mean,eval_survival_rate,eval_death_rate,eval_new_tile_rate_mean,eval_revisit_rate_mean,eval_wall_hit_rate_mean,eval_turn_streak_rate_mean,eval_hazard_contact_rate_mean,eval_seen_coverage_mean,eval_center_seen_coverage_mean,eval_action_forward_rate_mean,eval_action_left_rate_mean,eval_action_right_rate_mean,eval_max_no_new_tile_streak_mean,eval_stagnation_step_rate_mean,eval_coverage_gain_25_mean,eval_energy_spent_mean,eval_coverage_gain_per_energy_mean,eval_new_tiles_per_energy_mean,eval_obs_novelty_mean_mean,eval_turn_oscillation_rate_mean,eval_forward_after_turn_success_rate_mean,eval_coverage_at_step_50_mean,eval_coverage_at_step_100_mean,eval_coverage_at_step_150_mean,eval_seen_at_step_50_mean,eval_seen_at_step_100_mean,eval_seen_at_step_150_mean,eval_center_seen_at_step_50_mean,eval_center_seen_at_step_100_mean,eval_center_seen_at_step_150_mean,holdout_eval_reward_mean,holdout_eval_coverage_mean,holdout_eval_final_health_mean,holdout_eval_length_mean,holdout_eval_survival_rate,holdout_eval_death_rate,holdout_eval_new_tile_rate_mean,holdout_eval_revisit_rate_mean,holdout_eval_wall_hit_rate_mean,holdout_eval_turn_streak_rate_mean,holdout_eval_hazard_contact_rate_mean,holdout_eval_seen_coverage_mean,holdout_eval_center_seen_coverage_mean,holdout_eval_action_forward_rate_mean,holdout_eval_action_left_rate_mean,holdout_eval_action_right_rate_mean,holdout_eval_max_no_new_tile_streak_mean,holdout_eval_stagnation_step_rate_mean,holdout_eval_coverage_gain_25_mean,holdout_eval_energy_spent_mean,holdout_eval_coverage_gain_per_energy_mean,holdout_eval_new_tiles_per_energy_mean,holdout_eval_obs_novelty_mean_mean,holdout_eval_turn_oscillation_rate_mean,holdout_eval_forward_after_turn_success_rate_mean,holdout_eval_coverage_at_step_50_mean,holdout_eval_coverage_at_step_100_mean,holdout_eval_coverage_at_step_150_mean,holdout_eval_seen_at_step_50_mean,holdout_eval_seen_at_step_100_mean,holdout_eval_seen_at_step_150_mean,holdout_eval_center_seen_at_step_50_mean,holdout_eval_center_seen_at_step_100_mean,holdout_eval_center_seen_at_step_150_mean,eval_soft_score
11,2251,0.9762394444444444,-3.1078253240585347,0.40444444444444444,0,225,0.4,0.12,0.0,0.16,0.0,0.8088888888888889,0.9112426035502958,0.52,0.26222222222222225,0.21777777777777776,14.0,0.10666666666666667,0.044444444444444446,130.64595546722379,0.003061709783280289,0.688884701238065,0.9875121530858312,0.02666666666666667,0.7083333333333334,0.11555555555555555,0.2222222222222222,0.2577777777777778,0.4177777777777778,0.5777777777777777,0.6,0.47928994082840237,0.6449704142011834,0.6449704142011834,0.0,0.0,0.0,0.148625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,2441,0.9742338888888888,-1.731829725742339,0.39111111111111113,0,190,0.45789473684210524,0.1368421052631579,0.0,0.12105263157894737,0.0,0.9155555555555556,0.9881656804733728,0.5947368421052631,0.21578947368421053,0.18947368421052632,18.0,0.1368421052631579,0.050555555555555555,120.73171167373634,0.00320269348712283,0.7206060346026366,0.9916093547049255,0.015789473684210527,0.6851851851851852,0.14666666666666667,0.2577777777777778,0.3422222222222222,0.5333333333333333,0.8177777777777778,0.9066666666666666,0.5502958579881657,0.8875739644970414,0.9881656804733728,0.0,0.0,0.0,0.1485,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,2660,0.9719222222222222,-2.6131419067382806,0.39111111111111113,0,219,0.3972602739726027,0.1278538812785388,0.0,0.1461187214611872,0.0,0.7822222222222223,0.8284023668639053,0.5251141552511416,0.228310502283105,0.2465753424657534,24.0,0.1780821917808219,0.0445224171539961,130.51563720703086,0.0029626079674523248,0.666586792676773,0.9861858059118183,0.0091324200913242,0.6388888888888888,0.12,0.2577777777777778,0.28888888888888886,0.49333333333333335,0.7688888888888888,0.7688888888888888,0.5207100591715976,0.8165680473372781,0.8165680473372781,0.0,0.0,0.0,0.148375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,2833,0.9700961111111112,-1.8669377520084365,0.38666666666666666,0,173,0.49710982658959535,0.05202312138728324,0.0,0.15028901734104047,0.0,0.9022222222222223,0.9289940828402367,0.5491329479768786,0.21965317919075145,0.23121387283236994,14.0,0.07514450867052024,0.05543133195307108,110.3708357334136,0.003463072646703793,0.7791913455083535,0.9796224941889489,0.028901734104046242,0.8846153846153846,0.13777777777777778,0.2,0.32,0.6222222222222222,0.7688888888888888,0.8933333333333333,0.6627218934911243,0.8284023668639053,0.9289940828402367,0.0,0.0,0.0,0.14825,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,2981,0.9685338888888889,-3.5755276398658777,0.26666666666666666,0,148,0.39864864864864863,0.12162162162162163,0.0,0.14864864864864866,0.0,0.6488888888888888,0.7869822485207101,0.5202702702702703,0.25,0.22972972972972974,14.0,0.12162162162162163,0.044476650563607084,100.11931085586544,0.0026190973547523186,0.5892969048192715,0.9931862421051536,0.013513513513513514,0.6666666666666666,0.1288888888888889,0.18222222222222223,nan,0.47555555555555556,0.5377777777777778,nan,0.5857988165680473,0.6390532544378699,nan,0.0,0.0,0.0,0.148125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,3189,0.9663383333333333,-2.208042788028717,0.35555555555555557,0,208,0.3798076923076923,0.1346153846153846,0.0,0.13942307692307693,0.0,0.7466666666666667,0.8047337278106509,0.5144230769230769,0.1875,0.2980769230769231,20.0,0.16826923076923078,0.0421604938271605,120.00040750503507,0.002925915989880109,0.6583310977230244,0.9895191872899468,0.009615384615384616,0.6805555555555556,0.09777777777777778,0.21777777777777776,0.28444444444444444,0.39555555555555555,0.6444444444444445,0.7111111111111111,0.48520710059171596,0.7751479289940828,0.8047337278106509,0.0,0.0,0.0,0.148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,3439,0.9636994444444444,-1.2867345130443555,0.41333333333333333,2,250,0.368,0.132,0.0,0.204,0.0,0.7111111111111111,0.7692307692307693,0.5,0.2,0.3,31.0,0.236,0.040888888888888884,142.30223345756517,0.0028733834947911796,0.6465112863280154,0.9953137084989848,0.02,0.5945945945945946,0.12,0.18666666666666668,0.22666666666666666,0.4488888888888889,0.4888888888888889,0.5244444444444445,0.5325443786982249,0.5739644970414202,0.5857988165680473,0.0,0.0,0.0,0.147875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,3659,0.9613772222222222,-4.0106901383399975,0.3111111111111111,0,220,0.31363636363636366,0.2,0.0,0.15454545454545454,0.0,0.6755555555555556,0.7396449704142012,0.5136363636363637,0.22272727272727272,0.2636363636363636,30.0,0.33636363636363636,0.03407407407407407,130.6256203651426,0.0023476762507188874,0.5282271564117496,0.982254599264763,0.00909090909090909,0.4931506849315068,0.12444444444444444,0.17333333333333334,0.28,0.39111111111111113,0.4266666666666667,0.6755555555555556,0.4437869822485207,0.46153846153846156,0.7396449704142012,0.0,0.0,0.0,0.14775,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,3820,0.9596777777777777,-3.0221710567474362,0.28,0,161,0.38509316770186336,0.13043478260869565,0.0,0.14906832298136646,0.0,0.6755555555555556,0.7928994082840237,0.515527950310559,0.2484472049689441,0.2360248447204969,11.0,0.08074534161490683,0.04017316017316018,100.43972434997544,0.002743491754272452,0.6172856447113015,1.0,0.012422360248447204,0.6792452830188679,0.11555555555555555,0.17777777777777778,0.27555555555555555,0.4533333333333333,0.5288888888888889,0.6755555555555556,0.5680473372781065,0.6094674556213018,0.7928994082840237,0.0,0.0,0.0,0.147625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,4062,0.9571233333333333,-2.402203511714935,0.49777777777777776,0,242,0.45867768595041325,0.0743801652892562,0.0,0.19008264462809918,0.0,0.9777777777777777,1.0,0.5330578512396694,0.21487603305785125,0.25206611570247933,16.0,0.06611570247933884,0.05016993464052287,150.28765249252345,0.003282593913414649,0.738583630518296,0.9951587897716786,0.02066115702479339,0.7878787878787878,0.1511111111111111,0.24444444444444444,0.32,0.7155555555555555,0.7822222222222223,0.8177777777777778,0.7928994082840237,0.8284023668639053,0.863905325443787,0.029159068875014783,0.009547390975058079,0.1329605333507061,0.1475,-65.81592469451428,0.035555555555555556,0.0,108.4,0.0,1.0,0.07063109452736319,0.0,0.9293689054726368,0.0,0.0032782515991471215,0.22222222222222224,0.2662721893491124,1.0,0.0,0.0,101.4,0.8789181236673775,0.006585185185185184,95.77642566204055,0.0003293825679460758,0.07411107778786705,0.26902344404617884,0.0,0.0,0.035555555555555556,0.035555555555555556,nan,0.22222222222222224,0.22222222222222218,nan,0.2662721893491124,0.26627218934911245,nan,-59.75608350169658,0.035555555555555556,0.0,103.3,0.0,1.0,0.07287276477297491,0.0,0.927127235227025,0.0,0.00418579179296467,0.22222222222222224,0.2662721893491124,1.0,0.0,0.0,96.3,0.8750752603891858,0.006844444444444445,91.68841430187219,0.00034825944822670354,0.07835837585100829,0.27268119833945004,0.0,0.0,0.035555555555555556,0.035555555555555556,nan,0.22222222222222224,0.2222222222222222,nan,0.2662721893491124,0.26627218934911245,nan,0.3861433267587114
