epoch,train_total_loss,validation_target_loss,validation_auxiliary_loss,validation_survival_loss,validation_target_accuracy,validation_mean_manhattan_error,validation_survival_accuracy
1,4.965361058712006,4.253509283065796,0.018995051139167378,0.9332242693219867,0.0963855421686747,8.559036144578313,0.9036144578313253
2,4.012472651898861,3.231513329914638,0.015342181415430136,0.9274437597819737,0.2433734939759036,7.366265060240964,0.7228915662650602
3,3.1244293078780174,2.7817387921469554,0.01521593758038112,0.9677132368087769,0.3325301204819277,6.462650602409639,0.43132530120481927
4,2.768418602645397,2.7976528235844205,0.013116798496672086,0.9027999980109078,0.3493975903614458,7.079518072289156,0.6409638554216868
5,2.6645766720175743,2.658531052725656,0.012820495957774776,0.7952033962522235,0.3180722891566265,6.457831325301205,0.8409638554216867
6,2.4968302696943283,2.59094660622733,0.012713346497288771,0.7285490887505668,0.363855421686747,6.291566265060241,0.8746987951807229
7,2.387721922248602,2.7049242768968855,0.016924049040036544,0.8312781964029584,0.3180722891566265,6.734939759036145,0.6144578313253012
8,2.339543104171753,2.5684315817696706,0.013024222238787584,0.6929037911551339,0.3253012048192771,6.52289156626506,0.727710843373494
9,2.2095521986484528,2.6296416350773404,0.013750409840473108,0.9756320289203099,0.3204819277108434,6.093975903614457,0.472289156626506
10,2.1473786681890488,2.717297213418143,0.011749972057129656,0.751113406249455,0.344578313253012,6.139759036144579,0.6698795180722892
11,2.110365353524685,2.7686916419437955,0.011463676446250506,0.8441026295934405,0.3542168674698795,5.893975903614458,0.5807228915662651
12,2.0682046562433243,2.726463999067034,0.014341730890529496,1.0059310708727156,0.3421686746987952,6.067469879518073,0.4819277108433735
13,1.978256531059742,2.7063585690089633,0.013209499950919832,0.675186106136867,0.3325301204819277,6.057831325301205,0.744578313253012
14,1.9053900502622128,2.9029808725629533,0.014854629657098226,0.9713311131511416,0.3686746987951807,5.573493975903615,0.9325301204819277
15,1.8679480478167534,2.7198419911520824,0.011280944437852927,0.6955291884286063,0.35903614457831323,5.949397590361446,0.708433734939759
16,1.8298543319106102,2.7429822172437395,0.013171495736709662,0.9976774965013776,0.35180722891566263,5.995180722891567,0.4867469879518072
17,1.7262326069176197,2.8077405520847867,0.011263063310512475,0.6695992393153054,0.3759036144578313,5.633734939759036,0.7421686746987952
18,1.6742001734673977,2.9282463618687222,0.011311043053865433,0.6828070410660335,0.3493975903614458,5.843373493975903,0.8289156626506025
19,1.6554319150745869,2.9300656659262523,0.011183943200324262,0.7091392150947026,0.3397590361445783,5.5686746987951805,0.6795180722891566
20,1.5766025856137276,2.9148169585636685,0.010910623041646821,0.6887394615582058,0.3373493975903614,5.669879518072289,0.7132530120481928
21,1.5985155664384365,2.849724973951067,0.010956251993775368,0.7681919591767448,0.3421686746987952,5.807228915662651,0.6481927710843374
22,1.480017188936472,2.990247828619821,0.011010987684130669,0.7389357345444816,0.35180722891566263,5.43855421686747,0.6602409638554216
23,1.4340485073626041,3.227086680276053,0.012218544791851724,0.7030366765601295,0.3253012048192771,6.228915662650603,0.8216867469879519
24,1.364952426403761,3.0904347555977956,0.010875753659222807,0.7246927406106677,0.3421686746987952,5.6409638554216865,0.6746987951807228
25,1.3493452034890652,3.1205736568995883,0.010938388295471668,0.6754664523260934,0.3301204819277108,5.763855421686747,0.7325301204819277
26,1.3232551608234644,3.340578556060791,0.011232321682785238,0.6776281275919506,0.3493975903614458,5.710843373493976,0.8216867469879519
27,1.229261701926589,3.4351752485547746,0.010853861857737814,0.7199481959853854,0.3253012048192771,5.566265060240964,0.8096385542168675
28,1.1687402874231339,3.4233668191092357,0.011081853216247899,0.7200904382126672,0.35180722891566263,5.47710843373494,0.8072289156626506
29,1.1606741957366467,3.3103578090667725,0.010952477609472615,0.69532824414117,0.3325301204819277,5.51566265060241,0.7156626506024096
30,1.1785365622490644,3.3974104949406216,0.010991196813327926,0.8409535459109715,0.3493975903614458,5.4795180722891565,0.6024096385542169
31,1.0631136447191238,3.7483203411102295,0.010811791090028626,0.7569271581513541,0.3421686746987952,5.910843373493976,0.6795180722891566
32,1.1040924657136202,4.092738662447248,0.011572765851659434,1.1369246042200498,0.3542168674698795,5.655421686746988,0.9228915662650602
33,1.0594040416181087,3.8515777587890625,0.0117019707603114,0.6995837794882911,0.344578313253012,5.498795180722891,0.7951807228915663
34,1.0169266741722822,3.5429463727133617,0.011139874080462115,0.726996123790741,0.3493975903614458,5.493975903614458,0.6819277108433734
35,1.0106452163308859,3.771625893456595,0.010904270490365369,0.7933869787624904,0.3132530120481928,6.537349397590361,0.6144578313253012
36,0.9309856649488211,3.9709808826446533,0.010670309221105916,0.6850273651736123,0.3301204819277108,5.927710843373494,0.7349397590361446
37,0.9560961686074734,3.946827071053641,0.011219184978732042,0.7743800303765705,0.3493975903614458,5.727710843373494,0.8554216867469879
38,0.8911276739090681,3.8539349692208424,0.011081320765827383,0.725273072719574,0.3373493975903614,5.662650602409639,0.691566265060241
39,0.9223693814128637,3.785288095474243,0.011098001285323076,0.7398720341069358,0.3325301204819277,5.710843373493976,0.6433734939759036
40,0.8394114077091217,4.1320812702178955,0.010860522277653217,0.7633461569036756,0.3301204819277108,5.696385542168675,0.6409638554216868
41,0.8648997191339731,4.180052076067243,0.010765381024352141,0.7288326131446021,0.3397590361445783,5.785542168674699,0.7614457831325301
42,0.8048311099410057,4.107300247464861,0.010696325185043471,0.7228534987994603,0.3421686746987952,5.691566265060241,0.7253012048192771
43,0.7787984795868397,4.104140792574201,0.010721087056611265,0.7184972294739315,0.363855421686747,5.667469879518072,0.691566265060241
44,0.755691185593605,4.52930668422154,0.010806577945394176,0.7562518439122609,0.3566265060240964,5.930120481927711,0.8409638554216867
45,0.7845808397978544,4.369151660374233,0.010774109246475356,0.7183764832360404,0.3614457831325301,5.633734939759036,0.7301204819277108
46,0.7115408731624484,4.564551625932966,0.010674177668988705,0.7140755312783378,0.3132530120481928,6.31566265060241,0.7156626506024096
47,0.7143158614635468,4.554941415786743,0.011116394640079566,0.8132713564804622,0.3469879518072289,6.460240963855422,0.619277108433735
48,0.7068492481485009,4.981079305921282,0.0109569410394345,0.8256948696715491,0.3373493975903614,6.055421686746988,0.8289156626506025
49,0.6774870371446013,4.910477842603411,0.010854616362069334,0.7395961646522794,0.3253012048192771,6.204819277108434,0.7686746987951807
50,0.6839594580233097,4.769255842481341,0.010965966087366854,0.7898489875452859,0.35180722891566263,5.708433734939759,0.7831325301204819
