seed,model_phase2_decisions,expert_fallbacks,emergency_meat_decisions,learned_seed,learned_seen_fraction,learned_coverage,learned_phase,learned_reached_phase2,learned_actions,learned_turns,learned_replans,learned_phase1_replans,learned_phase2_replans,learned_survival_mode_actions,learned_phase1_actions,learned_phase1_turns,learned_phase1_end_seen_fraction,learned_phase1_end_health,learned_phase1_end_energy,learned_phase1_temperature_discomfort_total,learned_phase1_expert_decisions,learned_phase2_expert_decisions,learned_phase1_forbidden_entries,learned_direct_hazard_entries,learned_meat_collected,learned_meat_health_restored,learned_meat_health_wasted,learned_flower_contacts,learned_fatigue_health_losses,learned_direct_hazard_health_losses,learned_temperature_discomfort_total,learned_health,learned_energy,learned_terminated,learned_truncated,expert_seed,expert_seen_fraction,expert_coverage,expert_phase,expert_reached_phase2,expert_actions,expert_turns,expert_replans,expert_phase1_replans,expert_phase2_replans,expert_survival_mode_actions,expert_phase1_actions,expert_phase1_turns,expert_phase1_end_seen_fraction,expert_phase1_end_health,expert_phase1_end_energy,expert_phase1_temperature_discomfort_total,expert_phase1_expert_decisions,expert_phase2_expert_decisions,expert_phase1_forbidden_entries,expert_direct_hazard_entries,expert_meat_collected,expert_meat_health_restored,expert_meat_health_wasted,expert_flower_contacts,expert_fatigue_health_losses,expert_direct_hazard_health_losses,expert_temperature_discomfort_total,expert_health,expert_energy,expert_terminated,expert_truncated
78,18,1,5,78,0.9644444444444444,0.47555555555555556,2,True,197,34,76,52,24,0,65,12,0.8044444444444444,8.0,0.884113597869874,6.231772804260253,0,0,0,0,3,6.0,0.0,1,16,0,38.86109418869019,0.0,9.969452905654903,True,False,78,0.9822222222222222,0.5866666666666667,2,True,204,37,77,52,25,0,65,12,0.8044444444444444,8.0,0.884113597869874,6.231772804260253,0,0,0,0,3,6.0,0.0,2,16,0,32.016300487518315,0.0,9.29184975624084,True,False
40,24,1,2,40,0.9955555555555555,0.5688888888888889,2,True,191,33,71,44,27,0,54,9,0.8088888888888889,7.0,8.299753379821777,6.000493240356446,0,0,0,0,3,5.0,1.0,1,15,0,28.674508380889897,0.0,9.362745809555054,True,False,40,0.9911111111111112,0.5555555555555556,2,True,190,33,69,44,25,0,54,9,0.8088888888888889,7.0,8.299753379821777,6.000493240356446,0,0,0,0,3,5.0,1.0,1,15,0,29.143373012542735,0.0,9.928313493728636,True,False
22,10,1,11,22,0.9466666666666667,0.5333333333333333,2,True,211,45,70,48,22,0,58,9,0.8,6.0,6.2041670799255355,3.7916658401489256,0,0,0,0,3,6.0,0.0,1,16,0,28.894236564636238,0.0,9.252881717681888,True,False,22,0.96,0.5555555555555556,2,True,202,42,75,48,27,0,58,9,0.8,6.0,6.2041670799255355,3.7916658401489256,0,0,0,0,3,6.0,0.0,0,16,0,39.59004240036011,0.0,9.604978799819941,True,False
45,35,1,3,45,0.9955555555555555,0.6755555555555556,2,True,212,38,89,50,39,0,62,11,0.8088888888888889,8.0,4.358714199066164,3.0825716018676768,0,0,0,0,3,6.0,0.0,1,15,0,20.068271350860595,0.0,9.36586432456971,True,False,45,0.9955555555555555,0.6755555555555556,2,True,212,38,84,50,34,0,62,11,0.8088888888888889,8.0,4.358714199066164,3.0825716018676768,0,0,0,0,3,6.0,0.0,2,16,0,19.1263095855713,0.0,9.836845207214356,True,False
94,22,1,7,94,1.0,0.6755555555555556,2,True,214,40,85,55,30,0,69,13,0.8,5.0,9.875060176849365,2.8498796463012694,0,0,0,0,3,6.0,0.0,2,15,0,17.775206851959233,0.0,9.912396574020388,True,False,94,0.9955555555555555,0.6088888888888889,2,True,209,34,85,55,30,0,69,13,0.8,5.0,9.875060176849365,2.8498796463012694,0,0,0,0,3,6.0,0.0,1,15,0,19.606153869628898,0.0,9.99692306518555,True,False
59,17,2,4,59,0.9777777777777777,0.5066666666666667,2,True,195,43,83,60,23,0,74,13,0.8088888888888889,6.0,4.41615285873413,5.767694282531738,0,0,0,0,3,5.0,1.0,0,14,0,32.590347099304196,0.0,9.204826450347895,True,False,59,1.0,0.6311111111111111,2,True,192,36,90,60,30,0,74,13,0.8088888888888889,6.0,4.41615285873413,5.767694282531738,0,0,0,0,3,5.0,1.0,2,14,0,29.338137245178217,0.0,9.730931377410885,True,False
32,25,2,0,32,0.9822222222222222,0.4666666666666667,2,True,165,35,88,61,27,0,78,16,0.8088888888888889,8.0,1.520847749710083,8.158304500579835,0,0,0,0,3,3.0,3.0,0,13,0,32.48894224166869,0.0,9.255528879165652,True,False,32,0.9466666666666667,0.5022222222222222,2,True,168,30,79,61,18,0,78,16,0.8088888888888889,8.0,1.520847749710083,8.158304500579835,0,0,0,0,3,3.0,3.0,1,13,0,22.226072311401367,0.0,9.486963844299316,True,False
76,16,1,11,76,0.9911111111111112,0.5555555555555556,2,True,206,46,99,71,28,0,93,21,0.8,6.0,0.8549777030944861,10.490044593811035,0,0,0,0,3,6.0,0.0,1,16,0,37.62679347991943,0.0,9.386603260040285,True,False,76,1.0,0.6355555555555555,2,True,210,43,98,71,27,0,93,21,0.8,6.0,0.8549777030944861,10.490044593811035,0,0,0,0,3,6.0,0.0,2,16,0,27.027979278564445,0.0,9.98601036071778,True,False
50,18,1,7,50,1.0,0.6,2,True,200,29,87,61,26,0,73,11,0.8133333333333334,5.0,3.2161728858947725,7.767654228210446,0,0,0,0,3,6.0,0.0,2,15,0,29.13937072753906,0.0,9.930314636230463,True,False,50,0.9866666666666667,0.5511111111111111,2,True,193,39,83,61,22,0,73,11,0.8133333333333334,5.0,3.2161728858947725,7.767654228210446,0,0,0,0,3,6.0,0.0,1,15,0,50.935201835632306,0.0,9.632399082183834,True,False
73,28,1,3,73,0.9955555555555555,0.56,2,True,176,29,111,79,32,0,97,17,0.8177777777777778,5.0,6.987869787216184,7.824260425567627,0,0,0,0,3,4.0,2.0,1,14,0,29.238676261901862,0.0,9.080661869049068,True,False,73,1.0,0.5644444444444444,2,True,173,28,108,79,29,0,97,17,0.8177777777777778,5.0,6.987869787216184,7.824260425567627,0,0,0,0,3,4.0,2.0,1,14,0,31.476077651977548,0.0,9.861961174011224,True,False
