epoch,train_loss,validation_loss,validation_accuracy,validation_mean_manhattan_error
1,2.2092593155923437,1.0488584978239877,0.5931428571428572,2.5748571428571427
2,0.8871806381178684,0.8870479464530945,0.6617142857142857,2.288
3,0.6945131577429224,0.8190619732652392,0.7154285714285714,1.8697142857142857
4,0.5706092783662139,1.0600029336554664,0.664,2.7005714285714286
5,0.5091293974489463,0.6726169522319522,0.7554285714285714,1.8948571428571428
6,0.43597353994846344,0.5648648057665143,0.7885714285714286,1.4068571428571428
7,0.3826755067852677,0.6194750592112541,0.7931428571428571,1.3954285714285715
8,0.3370394804438607,0.6591741772634643,0.7965714285714286,1.2914285714285714
9,0.3512146321476483,0.7291200544152941,0.7691428571428571,1.758857142857143
10,0.2971144720423417,0.737321101129055,0.7474285714285714,1.6857142857142857
11,0.31135579992513185,0.7395539539200919,0.7771428571428571,1.713142857142857
12,0.2869249760616021,0.711111344397068,0.7931428571428571,1.5097142857142858
13,0.2614373528077954,0.6866882283772741,0.7828571428571428,1.4914285714285713
14,0.23106773686213572,0.6966363308685166,0.7828571428571428,1.6
15,0.26985225374581384,0.7035312386495727,0.7897142857142857,1.2754285714285714
16,0.2431705250847535,0.6829471130456243,0.7851428571428571,1.6617142857142857
17,0.20129823135059388,0.9942162909678051,0.7428571428571429,1.6582857142857144
18,0.2192871281113781,0.7883260356528419,0.7737142857142857,1.7565714285714287
19,0.20053096555295538,0.7584974206984043,0.7657142857142857,1.6022857142857143
20,0.2379295251897124,0.8532167800835201,0.7634285714285715,1.9165714285714286
21,0.15856489911675453,0.692320931170668,0.808,1.1908571428571428
22,0.17789821497729566,0.8332769253424236,0.7782857142857142,1.4662857142857142
23,0.16261354583452958,0.9051687940955162,0.7874285714285715,1.5942857142857143
24,0.15098140303228721,0.6560225481433528,0.8045714285714286,1.1828571428571428
25,0.18865258777972127,0.7188192403742245,0.7828571428571428,1.4548571428571428
26,0.1569588943155574,1.0100273340940475,0.7508571428571429,1.6594285714285715
27,0.15089929461112764,0.7318426296114922,0.824,1.2502857142857142
28,0.13029079963682128,0.7775427571364811,0.8057142857142857,1.0594285714285714
29,0.1507514862374204,0.9654683907117162,0.7622857142857142,1.616
30,0.13331542796165238,0.9116447567939758,0.7828571428571428,1.696
31,0.13435528042619346,0.9225857215268272,0.7748571428571429,1.7188571428571429
32,0.14013560128505112,0.8611252627202443,0.7885714285714286,1.4182857142857144
33,0.10563923624634254,0.7474753534687417,0.8388571428571429,1.0171428571428571
34,0.11448349739562293,0.8801081052848271,0.7748571428571429,1.6514285714285715
35,0.10911030319259792,0.7942489662340709,0.8091428571428572,1.1965714285714286
36,0.09309849994959402,0.7829900426524026,0.8114285714285714,1.1885714285714286
37,0.12206429120947103,1.0504684469529562,0.7622857142857142,1.9462857142857144
38,0.11535202272114206,1.4041519888809748,0.7611428571428571,1.8022857142857143
39,0.10060483192811247,0.8922548996550697,0.8091428571428572,1.3851428571428572
40,0.08962751584524503,0.7711191262517657,0.8262857142857143,1.0297142857142858
