episode,global_step,epsilon,objective_reward,raw_game_reward,coverage,seen,phase_reached,length,new_tile_rate,max_revisit_streak,revisit_penalty_total,mean_loss,mean_q_loss,mean_imitation_loss,eval_coverage_mean,eval_seen_mean,eval_phase_reached_mean,eval_new_tile_rate_mean,eval_max_revisit_streak_mean,eval_revisit_penalty_total_mean,holdout_coverage_mean,holdout_seen_mean,holdout_phase_reached_mean,holdout_new_tile_rate_mean,holdout_max_revisit_streak_mean,holdout_revisit_penalty_total_mean
1,194,0.99612,89.17279372394151,-1.5373593869209286,0.4711111111111111,0.9822222222222222,1.0,194.0,0.5412371134020618,10.0,2.7142062760585937,0.0,0.0,0.0,0.0044444444444444444,0.11111111111111112,0.0,0.0,0.0,0.0,0.0044444444444444444,0.11111111111111112,0.0,0.0,0.0,0.0
2,368,0.99264,75.86019710050383,-1.6860771052837356,0.4177777777777778,0.9377777777777778,1.0,174.0,0.5344827586206896,13.0,4.686802899496092,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,515,0.9897,61.59393406925381,-0.9019668393135064,0.35555555555555557,0.84,1.0,147.0,0.5374149659863946,11.0,3.287065930746094,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,674,0.98652,89.51310053125007,0.45598731780052315,0.4666666666666667,1.0,1.0,159.0,0.6540880503144654,5.0,0.34389946875,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,833,0.98334,80.95584650156249,0.18901584959030315,0.44,0.9333333333333333,1.0,159.0,0.6163522012578616,6.0,0.7011534984375,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,1011,0.97978,101.0830750000002,1.1055907683372466,0.52,0.9822222222222222,1.0,178.0,0.651685393258427,3.0,0.290925,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,1201,0.97598,102.1326840692541,0.7161598792076123,0.5288888888888889,0.9422222222222222,1.0,190.0,0.6210526315789474,8.0,1.7323159307460934,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,1343,0.97314,66.9530658765624,-1.1481956930160524,0.36444444444444446,0.8488888888888889,1.0,142.0,0.5704225352112676,6.0,0.5929341234375,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,1488,0.97024,63.847065876562375,-1.595197566509247,0.3511111111111111,0.9466666666666667,1.0,145.0,0.5379310344827586,6.0,0.6229341234375,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10,1638,0.96724,56.035280692691266,-1.1197429509162895,0.3511111111111111,1.0,1.0,150.0,0.52,20.0,7.2897193073085935,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,1828,0.96344,95.90056138538296,0.15363550162315542,0.5066666666666667,0.9911111111111112,1.0,190.0,0.5947368421052631,9.0,3.5494386146171863,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,1998,0.96004,98.92025000000014,0.1273077433109302,0.49777777777777776,1.0,1.0,170.0,0.6529411764705882,2.0,0.11474999999999999,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,2139,0.95722,67.71469312499991,-1.358053356409073,0.36444444444444446,0.9466666666666667,1.0,141.0,0.574468085106383,4.0,0.31330687500000004,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,2342,0.95316,79.98684201038279,-2.7487730281353002,0.4444444444444444,0.9866666666666667,1.0,203.0,0.4876847290640394,9.0,3.752157989617187,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,2520,0.9496,80.43394319269142,-1.297070486783982,0.44,0.9688888888888889,1.0,178.0,0.550561797752809,10.0,2.4250568073085934,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,2719,0.94562,95.67728069269162,-0.7072394270896898,0.49333333333333335,1.0,1.0,199.0,0.5527638190954773,9.0,1.8197193073085933,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,2884,0.94232,71.70084207807415,-1.807072531223297,0.4,0.9866666666666667,1.0,165.0,0.5393939393939394,8.0,3.7641579219257797,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,3059,0.93882,64.04912719425384,-3.314836985349655,0.35555555555555557,0.9822222222222222,1.0,175.0,0.4514285714285714,9.0,2.460872805746093,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,3207,0.93586,78.36950000000003,-0.40069225287437316,0.41333333333333333,0.9111111111111111,1.0,148.0,0.6216216216216216,2.0,0.09449999999999999,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,3390,0.9322,85.99953069269148,-0.8062839746475227,0.4533333333333333,0.9466666666666667,1.0,183.0,0.5519125683060109,8.0,1.359469307308593,1.1369501054286957,0.8845147490501404,1.0411136627197266,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,3547,0.92906,95.7832806250001,0.20852150082588472,0.49333333333333335,1.0,1.0,157.0,0.7006369426751592,4.0,0.217719375,0.6614787697792053,0.46311457455158234,0.8192879438400269,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,3684,0.92632,81.34591250000003,0.3984762241840367,0.4222222222222222,0.9555555555555556,1.0,137.0,0.6861313868613139,3.0,0.20508749999999998,0.6489864528179169,0.4525382578372955,0.8123960375785828,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,3921,0.9215800000000001,96.60028086452354,-0.9390622067451466,0.5244444444444445,1.0,1.0,237.0,0.4936708860759494,11.0,6.1007191354765595,0.6277546346187591,0.4372036010026932,0.7897288501262665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,4082,0.91836,84.8655613176914,-0.3831058268547046,0.4533333333333333,0.9866666666666667,1.0,161.0,0.6273291925465838,8.0,1.5074386823085932,0.6382624268531799,0.4483156830072403,0.7883933782577515,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,4216,0.91568,67.19666249999993,-1.4077249915599823,0.37333333333333335,0.9244444444444444,1.0,134.0,0.6194029850746269,3.0,0.16533749999999997,0.627574110031128,0.43702584505081177,0.7918687462806702,0.035555555555555556,0.22222222222222224,0.0,0.06423526052533034,0.0,0.0,0.035555555555555556,0.22222222222222224,0.0,0.07247985451095265,0.0,0.0
26,4360,0.9128000000000001,73.07465337656245,-0.1782518877983077,0.4088888888888889,1.0,1.0,144.0,0.6319444444444444,6.0,0.5123466234374999,0.5918222725391388,0.3990635216236115,0.8021216273307801,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,4503,0.90994,71.40629365624996,-0.5742468006610858,0.38666666666666666,1.0,1.0,143.0,0.6013986013986014,5.0,0.5177063437499999,0.6014644205570221,0.4149011939764023,0.7773683249950409,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,4642,0.90716,68.63369312499997,-1.426759926795958,0.37333333333333335,0.9644444444444444,1.0,139.0,0.5971223021582733,4.0,0.29830687499999997,0.5538256227970123,0.367262265086174,0.77837073802948,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,4796,0.90408,59.22922765781238,-1.3644079287052147,0.3333333333333333,0.96,1.0,154.0,0.4805194805194805,6.0,1.1877723421874997,0.565809714794159,0.3762704163789749,0.7919174373149872,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,4970,0.9006,88.16406587656259,0.08415084743499857,0.4666666666666667,0.96,1.0,174.0,0.5977011494252874,6.0,0.6679341234374998,0.5509275555610657,0.3610231876373291,0.7947267413139343,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,5101,0.89798,51.39554365624994,-3.0577085566520683,0.29777777777777775,0.8444444444444444,1.0,131.0,0.5038167938931297,5.0,0.58745634375,0.5359631091356277,0.34168274998664855,0.8140313684940338,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,5262,0.89476,72.10650390781242,-1.6132741036415097,0.41333333333333333,0.92,1.0,161.0,0.5714285714285714,6.0,0.8314960921875,0.5302371025085449,0.3376003444194794,0.8083565533161163,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,5397,0.89206,57.33150906925382,-1.970652873516082,0.3288888888888889,0.9955555555555555,1.0,135.0,0.5407407407407407,11.0,3.3634909307460936,0.4901626884937286,0.29639015197753904,0.8141475558280945,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
34,5563,0.88874,91.60472837656258,0.4405717267990119,0.48,0.9466666666666667,1.0,166.0,0.6445783132530121,6.0,0.7582716234374999,0.4548022925853729,0.26159896701574326,0.8130160629749298,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
