episode,coverage,steps,forward_actions,repeat_forwards,unique_per_forward,health_loss,survived,shaped_reward,loss,policy_loss,value_loss,imitation_loss,approx_kl,residual_limit,imitation_weight,eval_coverage,eval_coverage_p10,eval_unique_per_forward,eval_survived
1,0.6666666666666666,199.0,161.0,12.0,0.9254658385093167,16.0,0.0,140.66877374219902,nan,nan,nan,nan,nan,0.15070833333333333,0.49965,0.6976888888888888,0.6488888888888888,0.9479688516632746,0.0
2,0.6666666666666666,216.0,166.0,17.0,0.8975903614457831,16.0,0.0,138.66755107259746,nan,nan,nan,nan,nan,0.15141666666666667,0.4993,nan,nan,nan,nan
3,0.6711111111111111,214.0,166.0,16.0,0.9036144578313253,16.0,0.0,140.27432768869392,nan,nan,nan,nan,nan,0.15212499999999998,0.49895,nan,nan,nan,nan
4,0.72,214.0,174.0,13.0,0.9252873563218391,16.0,0.0,152.49832646799084,nan,nan,nan,nan,nan,0.15283333333333332,0.4986,nan,nan,nan,nan
5,0.6977777777777778,216.0,170.0,14.0,0.9176470588235294,16.0,0.0,146.8661401152611,nan,nan,nan,nan,nan,0.15354166666666666,0.49825,nan,nan,nan,nan
6,0.6888888888888889,222.0,178.0,24.0,0.8651685393258427,16.0,0.0,141.89968733406067,nan,nan,nan,nan,nan,0.15425,0.4979,nan,nan,nan,nan
7,0.6488888888888888,224.0,179.0,34.0,0.8100558659217877,16.0,0.0,129.3039942998886,nan,nan,nan,nan,nan,0.15495833333333334,0.49755,nan,nan,nan,nan
8,0.6088888888888889,186.0,145.0,9.0,0.9379310344827586,14.0,0.0,129.23406428241725,nan,nan,nan,nan,nan,0.15566666666666668,0.4972,nan,nan,nan,nan
9,0.6577777777777778,206.0,167.0,20.0,0.8802395209580839,16.0,0.0,136.17394356727598,nan,nan,nan,nan,nan,0.156375,0.49685,nan,nan,nan,nan
10,0.6666666666666666,200.0,164.0,15.0,0.9085365853658537,15.0,0.0,140.35960204792033,nan,nan,nan,nan,nan,0.15708333333333332,0.4965,nan,nan,nan,nan
11,0.7155555555555555,213.0,175.0,15.0,0.9142857142857143,16.0,0.0,150.85199990272525,nan,nan,nan,nan,nan,0.15779166666666666,0.49615,nan,nan,nan,nan
12,0.6666666666666666,212.0,165.0,16.0,0.9030303030303031,16.0,0.0,139.2256117739678,nan,nan,nan,nan,nan,0.1585,0.4958,nan,nan,nan,nan
13,0.6711111111111111,206.0,164.0,14.0,0.9146341463414634,16.0,0.0,141.08458885288246,nan,nan,nan,nan,nan,0.15920833333333334,0.49545,nan,nan,nan,nan
14,0.6622222222222223,205.0,168.0,20.0,0.8809523809523809,16.0,0.0,137.19756303071975,nan,nan,nan,nan,nan,0.15991666666666665,0.4951,nan,nan,nan,nan
15,0.6622222222222223,212.0,161.0,13.0,0.9192546583850931,16.0,0.0,139.33491753101353,nan,nan,nan,nan,nan,0.160625,0.49475,nan,nan,nan,nan
16,0.7155555555555555,221.0,171.0,11.0,0.935672514619883,15.0,0.0,152.16215685272203,106.64517116546631,-0.0011983538279309869,210.7846279144287,2.6147255301475525,7.81163175815891e-05,0.16133333333333333,0.4944,nan,nan,nan,nan
17,0.6666666666666666,205.0,170.0,21.0,0.8764705882352941,16.0,0.0,138.00384210968025,nan,nan,nan,nan,nan,0.16204166666666667,0.49405,nan,nan,nan,nan
18,0.5955555555555555,186.0,148.0,15.0,0.8986486486486487,14.0,0.0,124.7294890403747,nan,nan,nan,nan,nan,0.16275,0.4937,nan,nan,nan,nan
19,0.6844444444444444,214.0,172.0,19.0,0.8895348837209303,16.0,0.0,142.2643214359283,nan,nan,nan,nan,nan,0.16345833333333332,0.49335,nan,nan,nan,nan
20,0.68,207.0,168.0,16.0,0.9047619047619048,16.0,0.0,142.53413880777367,nan,nan,nan,nan,nan,0.16416666666666666,0.493,nan,nan,nan,nan
21,0.6088888888888889,202.0,153.0,17.0,0.8888888888888888,16.0,0.0,126.00074884080885,nan,nan,nan,nan,nan,0.164875,0.49265,nan,nan,nan,nan
22,0.6711111111111111,204.0,162.0,12.0,0.9259259259259259,16.0,0.0,141.68407439661036,nan,nan,nan,nan,nan,0.16558333333333333,0.4923,nan,nan,nan,nan
23,0.6488888888888888,187.0,150.0,5.0,0.9666666666666667,14.0,0.0,139.5412106971741,nan,nan,nan,nan,nan,0.16629166666666667,0.49195,nan,nan,nan,nan
24,0.5733333333333334,201.0,157.0,29.0,0.8152866242038217,16.0,0.0,113.99844479608538,nan,nan,nan,nan,nan,0.16699999999999998,0.4916,nan,nan,nan,nan
25,0.6844444444444444,193.0,163.0,10.0,0.9386503067484663,14.0,0.0,146.24208728551847,nan,nan,nan,nan,nan,0.16770833333333332,0.49125,nan,nan,nan,nan
26,0.6533333333333333,215.0,173.0,27.0,0.8439306358381503,16.0,0.0,132.82805895709993,nan,nan,nan,nan,nan,0.16841666666666666,0.4909,nan,nan,nan,nan
27,0.7155555555555555,202.0,169.0,9.0,0.9467455621301775,16.0,0.0,152.6444911203385,nan,nan,nan,nan,nan,0.169125,0.49055,nan,nan,nan,nan
28,0.6533333333333333,194.0,159.0,13.0,0.9182389937106918,15.0,0.0,137.49318243122096,nan,nan,nan,nan,nan,0.16983333333333334,0.4902,nan,nan,nan,nan
29,0.6755555555555556,216.0,170.0,19.0,0.888235294117647,16.0,0.0,140.28561803007116,nan,nan,nan,nan,nan,0.17054166666666665,0.48985,nan,nan,nan,nan
30,0.6355555555555555,202.0,160.0,18.0,0.8875,15.0,0.0,132.12158662939075,nan,nan,nan,nan,nan,0.17124999999999999,0.4895,nan,nan,nan,nan
31,0.6666666666666666,211.0,159.0,10.0,0.9371069182389937,16.0,0.0,141.13651306581494,nan,nan,nan,nan,nan,0.17195833333333332,0.48915,nan,nan,nan,nan
32,0.6133333333333333,184.0,148.0,11.0,0.9256756756756757,14.0,0.0,129.87855746221547,108.29855728149414,-0.012598169967532158,214.20276260375977,2.553256779909134,2.2497843481517066e-06,0.17266666666666666,0.4888,nan,nan,nan,nan
33,0.6355555555555555,197.0,156.0,14.0,0.9102564102564102,16.0,0.0,133.18377508974078,nan,nan,nan,nan,nan,0.173375,0.48845,nan,nan,nan,nan
34,0.6888888888888889,219.0,174.0,20.0,0.8850574712643678,16.0,0.0,143.2384239253997,nan,nan,nan,nan,nan,0.1740833333333333,0.4881,nan,nan,nan,nan
35,0.6533333333333333,208.0,165.0,19.0,0.8848484848484849,16.0,0.0,135.63252276706692,nan,nan,nan,nan,nan,0.17479166666666665,0.48775,nan,nan,nan,nan
36,0.6933333333333334,216.0,169.0,14.0,0.9171597633136095,15.0,0.0,146.2334465618133,nan,nan,nan,nan,nan,0.1755,0.4874,nan,nan,nan,nan
37,0.6444444444444445,212.0,169.0,25.0,0.8520710059171598,16.0,0.0,131.68862606477742,nan,nan,nan,nan,nan,0.17620833333333333,0.48705,nan,nan,nan,nan
38,0.6933333333333334,215.0,174.0,19.0,0.8908045977011494,16.0,0.0,144.5215307922363,nan,nan,nan,nan,nan,0.17691666666666667,0.4867,nan,nan,nan,nan
39,0.6888888888888889,210.0,172.0,18.0,0.8953488372093024,16.0,0.0,144.02124917793265,nan,nan,nan,nan,nan,0.177625,0.48635,nan,nan,nan,nan
40,0.6355555555555555,201.0,161.0,19.0,0.8819875776397516,16.0,0.0,131.45582982778546,nan,nan,nan,nan,nan,0.17833333333333332,0.486,nan,nan,nan,nan
41,0.6222222222222222,199.0,163.0,24.0,0.852760736196319,16.0,0.0,127.09854247856146,nan,nan,nan,nan,nan,0.17904166666666665,0.48565,nan,nan,nan,nan
42,0.6622222222222223,208.0,163.0,15.0,0.9079754601226994,16.0,0.0,138.81485678100583,nan,nan,nan,nan,nan,0.17975,0.4853,nan,nan,nan,nan
43,0.64,199.0,160.0,17.0,0.89375,16.0,0.0,133.0707331318856,nan,nan,nan,nan,nan,0.18045833333333333,0.48495,nan,nan,nan,nan
44,0.6711111111111111,216.0,176.0,26.0,0.8522727272727273,16.0,0.0,137.34116864490505,nan,nan,nan,nan,nan,0.18116666666666667,0.4846,nan,nan,nan,nan
45,0.64,196.0,162.0,19.0,0.8827160493827161,15.0,0.0,133.02853274440778,nan,nan,nan,nan,nan,0.181875,0.48425,nan,nan,nan,nan
