episode,global_step,epsilon,reward,coverage,final_health,length,new_tile_rate,revisit_rate,wall_hit_rate,turn_streak_rate,hazard_contact_rate,action_forward_rate,action_left_rate,action_right_rate,max_no_new_tile_streak,stagnation_step_rate,coverage_gain_25,turn_oscillation_rate,forward_after_turn_success_rate,coverage_at_step_50,coverage_at_step_100,coverage_at_step_150,mean_loss,mean_q_loss,mean_aux_loss,aux_weight,eval_reward_mean,eval_coverage_mean,eval_final_health_mean,eval_length_mean,eval_survival_rate,eval_death_rate,eval_new_tile_rate_mean,eval_revisit_rate_mean,eval_wall_hit_rate_mean,eval_turn_streak_rate_mean,eval_hazard_contact_rate_mean,eval_action_forward_rate_mean,eval_action_left_rate_mean,eval_action_right_rate_mean,eval_max_no_new_tile_streak_mean,eval_stagnation_step_rate_mean,eval_coverage_gain_25_mean,eval_turn_oscillation_rate_mean,eval_forward_after_turn_success_rate_mean,eval_coverage_at_step_50_mean,eval_coverage_at_step_100_mean,eval_coverage_at_step_150_mean,holdout_eval_reward_mean,holdout_eval_coverage_mean,holdout_eval_final_health_mean,holdout_eval_length_mean,holdout_eval_survival_rate,holdout_eval_death_rate,holdout_eval_new_tile_rate_mean,holdout_eval_revisit_rate_mean,holdout_eval_wall_hit_rate_mean,holdout_eval_turn_streak_rate_mean,holdout_eval_hazard_contact_rate_mean,holdout_eval_action_forward_rate_mean,holdout_eval_action_left_rate_mean,holdout_eval_action_right_rate_mean,holdout_eval_max_no_new_tile_streak_mean,holdout_eval_stagnation_step_rate_mean,holdout_eval_coverage_gain_25_mean,holdout_eval_turn_oscillation_rate_mean,holdout_eval_forward_after_turn_success_rate_mean,holdout_eval_coverage_at_step_50_mean,holdout_eval_coverage_at_step_100_mean,holdout_eval_coverage_at_step_150_mean,eval_soft_score
11,1644,0.9826466666666667,-4.207104858398438,0.37777777777777777,-1,146,0.5753424657534246,0.00684931506849315,0.11643835616438356,0.03424657534246575,0.00684931506849315,0.6986301369863014,0.15753424657534246,0.14383561643835616,18.0,0.08904109589041095,0.0637742504409171,0.0,0.8205128205128205,0.15555555555555556,0.28888888888888886,nan,0.0,0.0,0.0,0.148625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,1753,0.9859370444444444,-26.36110025024414,0.09777777777777778,0,109,0.1926605504587156,0.0,0.5229357798165137,0.06422018348623854,0.0,0.7155963302752294,0.14678899082568808,0.13761467889908258,53.0,0.6238532110091743,0.018666666666666668,0.0,0.4166666666666667,0.09333333333333334,0.09777777777777778,nan,0.0,0.0,0.0,0.1485,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,1902,0.9847417333333334,-24.195659425973897,0.17333333333333334,0,149,0.2550335570469799,0.013422818791946308,0.46308724832214765,0.06711409395973154,0.0,0.7315436241610739,0.1476510067114094,0.12080536912751678,81.0,0.5100671140939598,0.028148148148148148,0.0,0.4666666666666667,0.11555555555555555,0.17333333333333334,nan,0.0,0.0,0.0,0.148375,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,2050,0.9783611111111111,-9.000681853532788,0.28888888888888886,0,148,0.43243243243243246,0.006756756756756757,0.24324324324324326,0.0472972972972973,0.0,0.6824324324324325,0.16216216216216217,0.1554054054054054,31.0,0.19594594594594594,0.04837359098228663,0.0,0.7,0.07555555555555556,0.17333333333333334,nan,0.0,0.0,0.0,0.14825,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,2226,0.9769732666666666,-0.8844457910060878,0.4666666666666667,0,176,0.5909090909090909,0.011363636363636364,0.056818181818181816,0.045454545454545456,0.0,0.6590909090909091,0.17045454545454544,0.17045454545454544,6.0,0.011363636363636364,0.05777777777777778,0.0,0.8461538461538461,0.1511111111111111,0.26666666666666666,0.4,0.0,0.0,0.0,0.148125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,2433,0.9743183333333333,-2.8230778927803053,0.52,0,207,0.5603864734299517,0.01932367149758454,0.13043478260869565,0.028985507246376812,0.004830917874396135,0.7101449275362319,0.13526570048309178,0.15458937198067632,17.0,0.06280193236714976,0.05982363315696651,0.0,0.8148148148148148,0.12,0.26666666666666666,0.38666666666666666,0.0,0.0,0.0,0.148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,2578,0.9733320222222223,-11.078535025596599,0.24888888888888888,0,145,0.3793103448275862,0.0,0.3310344827586207,0.027586206896551724,0.0,0.7103448275862069,0.15172413793103448,0.13793103448275862,33.0,0.2206896551724138,0.0424074074074074,0.0,0.631578947368421,0.10222222222222223,0.13777777777777778,nan,0.0,0.0,0.0,0.147875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,2689,0.9784282444444444,-25.945894672393802,0.08444444444444445,0,111,0.16216216216216217,0.0,0.5585585585585585,0.05405405405405406,0.0,0.7207207207207207,0.11711711711711711,0.16216216216216217,49.0,0.6396396396396397,0.016,0.009009009009009009,0.36,0.07555555555555556,0.08444444444444445,nan,0.0,0.0,0.0,0.14775,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,2850,0.9771366666666667,-23.189767710208898,0.24888888888888888,0,161,0.3416149068322981,0.006211180124223602,0.2981366459627329,0.049689440993788817,0.0,0.6459627329192547,0.16149068322981366,0.19254658385093168,59.0,0.33540372670807456,0.03492063492063492,0.0,0.6122448979591837,0.13777777777777778,0.24,0.24888888888888888,0.0,0.0,0.0,0.147625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,2978,0.9685655555555556,-1.011005522251129,0.36444444444444446,-2,128,0.6328125,0.0234375,0.03125,0.015625,0.0078125,0.6875,0.1328125,0.1796875,3.0,0.0,0.06543209876543213,0.0,0.868421052631579,0.13777777777777778,0.28,nan,0.039984076470136645,0.019750207755714656,0.13717878088355065,0.1475,-1.7840242323637008,0.256,-0.2,85.7,0.0,1.0,0.6673074306147442,0.08845619667242038,0.10304284203329236,0.013734199941096491,0.030652430358588122,0.8588064693204569,0.0,0.14119353067954304,9.9,0.0669145900114267,0.06972907268170425,0.0,0.7143073593073594,0.17888888888888893,0.3111111111111111,0.4533333333333333,-1.8613182074546812,0.2524444444444444,-0.5,83.8,0.0,1.0,0.6541948529238151,0.09687101850671276,0.11357983174427773,0.01023989898989899,0.031599893275910104,0.8646457031748056,0.0,0.13535429682519445,10.8,0.08447960790702727,0.0691217613541143,0.0,0.7230594405594405,0.17222222222222225,0.2962962962962963,nan,0.7063486086518849
