seed,coverage,actions,forward_moves,unique_route_cells,route_cells,known_danger_sources,danger_zone_entries,route_replans,completed_route,terminated,truncated,health,energy
93,0.6,198,146,135,225,5,0,5,False,True,False,0,9.671246719360353
94,0.6133333333333333,201,141,138,225,4,0,4,False,True,False,0,9.99589734077453
95,0.4622222222222222,147,105,104,225,4,0,4,False,True,False,0,9.50145592689514
96,0.5511111111111111,171,124,124,225,4,0,4,False,True,False,0,9.159815216064448
97,0.44,143,106,99,225,5,0,5,False,True,False,0,9.256197023391719
98,0.5511111111111111,177,136,124,225,3,0,3,False,True,False,0,9.969662809371949
99,0.5066666666666667,181,123,114,225,5,0,5,False,True,False,0,9.249147462844851
100,0.4266666666666667,125,95,96,225,3,0,3,False,True,False,0,9.551147270202634
101,0.6533333333333333,198,147,147,225,5,0,5,False,True,False,0,9.237538766860958
102,0.56,176,127,126,225,5,0,5,False,True,False,0,9.806788921356201
103,0.5911111111111111,181,133,133,225,1,0,1,False,True,False,0,9.200000000000001
104,0.7555555555555555,225,169,170,225,4,0,4,False,True,False,0,9.250416374206534
105,0.56,172,130,126,225,5,0,5,False,True,False,0,9.832459688186647
106,0.6222222222222222,201,141,140,225,4,0,4,False,True,False,0,9.762532186508171
