seed,environment_set,environment_variant,coverage,seen_fraction,termination_status,end_reason,actions,forward_actions,turns,replans,phase2_reached,phase2_start_step,plan_count,model_plan_count,expert_plan_count,fallback_count,fallback_rate,fallback_reasons,divergence_comparisons,target_divergences,target_divergence_rate,planned_action_count,trace_step_count,route_planned_to_executed_ratio,target_switches,forward_move_success_rate,initial_energy,final_energy,energy_delta,initial_health,final_health,health_delta,fatigue_health_loss,hazard_entries,direct_hazard_health_loss,contacts,wall_bumps,time_energy_cost_total,forward_energy_cost_total,turn_energy_cost_total,thermal_energy_cost_total,meat_health_restored,meat_health_wasted,coverage_per_action,coverage_per_forward_action,seen_per_forward_action,plans_per_100_actions,baseline_coverage,coverage_delta,baseline_seen_fraction,seen_delta,failure_score,failure_reasons
20053,standard,standard,0.5288888888888889,0.96,terminated,health_zero_fatigue,175,139,36,71,True,63,72,0,72,0,0.0,{},51,0,0.0,640,175,3.657142857142857,36,1.0,10.0,9.688467550277714,0.3115324497222858,10.0,0.0,10.0,13.0,0,0.0,"{""Empty"": 172, ""Meat"": 3}",0,34.99999999999996,83.39999999999992,3.600000000000002,8.311532449722291,3.0,3.0,0.003022222222222222,0.0038049560351718623,0.006906474820143884,41.142857142857146,,,,,9,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile"", ""bottom_seen_quintile""]"
20059,standard,standard,0.5466666666666666,0.9377777777777778,terminated,health_zero_fatigue,196,157,39,78,True,73,79,0,79,0,0.0,{},61,0,0.0,702,196,3.5816326530612246,37,1.0,10.0,9.877096271514898,0.12290372848510245,10.0,0.0,10.0,14.0,0,0.0,"{""Empty"": 192, ""Flower"": 1, ""Meat"": 3}",0,39.20000000000002,94.19999999999982,3.900000000000002,2.822903728485108,4.0,2.0,0.0027891156462585033,0.003481953290870488,0.00597310686482661,40.30612244897959,,,,,9,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile"", ""bottom_seen_quintile""]"
20012,standard,standard,0.49777777777777776,0.9822222222222222,terminated,health_zero_fatigue,165,133,32,117,True,111,118,0,118,0,0.0,{},89,0,0.0,1012,165,6.133333333333334,43,1.0,10.0,9.892846298217766,0.10715370178223438,10.0,0.0,10.0,11.0,0,0.0,"{""Empty"": 162, ""Flower"": 1, ""Meat"": 2}",0,32.99999999999993,79.79999999999995,3.2000000000000015,4.107153701782226,2.0,2.0,0.0030168350168350167,0.003742690058479532,0.007385129490392648,71.51515151515152,,,,,8,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile""]"
20014,standard,standard,0.52,0.9911111111111112,terminated,health_zero_fatigue,176,141,35,108,True,103,109,0,109,0,0.0,{},85,0,0.0,854,176,4.8522727272727275,42,1.0,10.0,9.793411445617672,0.20658855438232848,10.0,0.0,10.0,14.0,0,0.0,"{""Empty"": 171, ""Flower"": 2, ""Meat"": 3}",0,35.19999999999996,84.59999999999991,3.5000000000000018,16.90658855438232,4.0,2.0,0.0029545454545454545,0.003687943262411348,0.007029156816390859,61.93181818181818,,,,,8,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile""]"
20050,standard,standard,0.5333333333333333,0.9911111111111112,terminated,health_zero_fatigue,183,149,34,87,True,77,88,0,88,0,0.0,{},62,0,0.0,937,183,5.120218579234972,35,1.0,10.0,8.856204175949092,1.1437958240509083,10.0,0.0,10.0,14.0,0,0.0,"{""Empty"": 179, ""Flower"": 1, ""Meat"": 3}",0,36.59999999999998,89.39999999999986,3.4000000000000017,11.743795824050903,4.0,2.0,0.0029143897996357013,0.0035794183445190158,0.006651752423564504,48.08743169398907,,,,,8,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile""]"
20060,standard,standard,0.5333333333333333,1.0,terminated,health_zero_fatigue,156,126,30,70,True,51,71,0,71,0,0.0,{},43,0,0.0,646,156,4.141025641025641,37,1.0,10.0,9.665059471130366,0.3349405288696339,10.0,0.0,10.0,12.0,0,0.0,"{""Empty"": 153, ""Meat"": 3}",0,31.19999999999992,75.6,3.0000000000000013,10.53494052886963,2.0,4.0,0.003418803418803419,0.004232804232804233,0.007936507936507936,45.51282051282051,,,,,8,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile""]"
20090,standard,standard,0.5377777777777778,0.9866666666666667,terminated,health_zero_fatigue,182,148,34,70,True,51,71,0,71,0,0.0,{},43,0,0.0,680,182,3.7362637362637363,34,1.0,10.0,8.975971937179562,1.0240280628204381,10.0,0.0,10.0,14.0,0,0.0,"{""Empty"": 180, ""Meat"": 2}",0,36.39999999999998,88.79999999999987,3.4000000000000017,12.424028062820437,4.0,0.0,0.002954822954822955,0.0036336336336336337,0.006666666666666667,39.010989010989015,,,,,8,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile""]"
20038,standard,standard,0.5422222222222223,0.9822222222222222,terminated,health_zero_fatigue,184,149,35,64,True,48,65,0,65,0,0.0,{},42,0,0.0,549,184,2.983695652173913,35,1.0,10.0,9.591039371490474,0.40896062850952575,10.0,0.0,10.0,14.0,0,0.0,"{""Empty"": 181, ""Flower"": 1, ""Meat"": 2}",0,36.79999999999998,89.39999999999986,3.5000000000000018,10.708960628509521,4.0,0.0,0.002946859903381643,0.0036390753169276663,0.006592095451155854,35.32608695652174,,,,,8,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile""]"
20001,standard,standard,0.5466666666666666,1.0,terminated,health_zero_fatigue,208,164,44,105,True,102,106,0,106,0,0.0,{},81,0,0.0,852,208,4.096153846153846,48,1.0,10.0,9.925338459014887,0.07466154098511346,10.0,0.0,10.0,16.0,0,0.0,"{""Empty"": 204, ""Flower"": 1, ""Meat"": 3}",0,41.60000000000005,98.39999999999978,4.4,15.67466154098511,6.0,0.0,0.002628205128205128,0.003333333333333333,0.006097560975609756,50.96153846153846,,,,,8,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile""]"
20025,standard,standard,0.5511111111111111,0.9955555555555555,terminated,health_zero_fatigue,199,160,39,90,True,76,91,0,91,0,0.0,{},61,0,0.0,853,199,4.28643216080402,37,1.0,10.0,9.259933185577388,0.7400668144226117,10.0,0.0,10.0,16.0,0,0.0,"{""Empty"": 195, ""Flower"": 1, ""Meat"": 3}",0,39.800000000000026,95.9999999999998,3.900000000000002,21.040066814422605,6.0,0.0,0.0027694025683975432,0.0034444444444444444,0.006222222222222222,45.7286432160804,,,,,8,"[""terminated"", ""fatigue_health_loss"", ""bottom_coverage_quintile""]"
