episode,global_step,epsilon,reward,coverage,length,new_tile_rate,revisit_rate,wall_hit_rate,turn_streak_rate,hazard_contact_rate,seen_coverage,center_seen_coverage,action_forward_rate,action_left_rate,action_right_rate,max_no_new_tile_streak,stagnation_step_rate,coverage_gain_25,energy_spent,coverage_gain_per_energy,new_tiles_per_energy,obs_novelty_mean,turn_oscillation_rate,forward_after_turn_success_rate,coverage_at_step_50,coverage_at_step_100,coverage_at_step_150,seen_at_step_50,seen_at_step_100,seen_at_step_150,center_seen_at_step_50,center_seen_at_step_100,center_seen_at_step_150,mean_loss,mean_q_loss,eval_reward_mean,eval_coverage_mean,eval_length_mean,eval_survival_rate,eval_death_rate,eval_new_tile_rate_mean,eval_revisit_rate_mean,eval_wall_hit_rate_mean,eval_turn_streak_rate_mean,eval_hazard_contact_rate_mean,eval_seen_coverage_mean,eval_center_seen_coverage_mean,eval_action_forward_rate_mean,eval_action_left_rate_mean,eval_action_right_rate_mean,eval_max_no_new_tile_streak_mean,eval_stagnation_step_rate_mean,eval_coverage_gain_25_mean,eval_energy_spent_mean,eval_coverage_gain_per_energy_mean,eval_new_tiles_per_energy_mean,eval_obs_novelty_mean_mean,eval_turn_oscillation_rate_mean,eval_forward_after_turn_success_rate_mean,eval_coverage_at_step_50_mean,eval_coverage_at_step_100_mean,eval_coverage_at_step_150_mean,eval_seen_at_step_50_mean,eval_seen_at_step_100_mean,eval_seen_at_step_150_mean,eval_center_seen_at_step_50_mean,eval_center_seen_at_step_100_mean,eval_center_seen_at_step_150_mean,holdout_eval_reward_mean,holdout_eval_coverage_mean,holdout_eval_length_mean,holdout_eval_survival_rate,holdout_eval_death_rate,holdout_eval_new_tile_rate_mean,holdout_eval_revisit_rate_mean,holdout_eval_wall_hit_rate_mean,holdout_eval_turn_streak_rate_mean,holdout_eval_hazard_contact_rate_mean,holdout_eval_seen_coverage_mean,holdout_eval_center_seen_coverage_mean,holdout_eval_action_forward_rate_mean,holdout_eval_action_left_rate_mean,holdout_eval_action_right_rate_mean,holdout_eval_max_no_new_tile_streak_mean,holdout_eval_stagnation_step_rate_mean,holdout_eval_coverage_gain_25_mean,holdout_eval_energy_spent_mean,holdout_eval_coverage_gain_per_energy_mean,holdout_eval_new_tiles_per_energy_mean,holdout_eval_obs_novelty_mean_mean,holdout_eval_turn_oscillation_rate_mean,holdout_eval_forward_after_turn_success_rate_mean,holdout_eval_coverage_at_step_50_mean,holdout_eval_coverage_at_step_100_mean,holdout_eval_coverage_at_step_150_mean,holdout_eval_seen_at_step_50_mean,holdout_eval_seen_at_step_100_mean,holdout_eval_seen_at_step_150_mean,holdout_eval_center_seen_at_step_50_mean,holdout_eval_center_seen_at_step_100_mean,holdout_eval_center_seen_at_step_150_mean,eval_soft_score
11,2200,0.9767777777777777,-2.377954338312148,0.4444444444444444,230,0.43043478260869567,0.12173913043478261,0.0391304347826087,0.11739130434782609,0.0,0.8488888888888889,0.9526627218934911,0.591304347826087,0.17391304347826086,0.23478260869565218,23.0,0.1565217391304348,0.044,140.36146988868694,0.0031347634101362726,0.7053217672806613,0.9930685973649385,0.008695652173913044,0.6865671641791045,0.13777777777777778,0.2311111111111111,0.3511111111111111,0.4888888888888889,0.5911111111111111,0.8222222222222222,0.5976331360946746,0.6863905325443787,0.9467455621301775,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,2395,0.9747194444444445,-2.0655333082675917,0.3688888888888889,195,0.4205128205128205,0.14871794871794872,0.0,0.14358974358974358,0.0,0.7688888888888888,0.8224852071005917,0.5692307692307692,0.20512820512820512,0.22564102564102564,24.0,0.17435897435897435,0.04694444444444444,120.00507912635781,0.0030369084966871056,0.6833044117545988,0.983252330865036,0.005128205128205128,0.6181818181818182,0.13777777777777778,0.21333333333333335,0.2577777777777778,0.47555555555555556,0.5688888888888889,0.5688888888888889,0.5443786982248521,0.5976331360946746,0.5976331360946746,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,2608,0.9724711111111111,-3.604743142843247,0.37333333333333335,213,0.38967136150234744,0.1596244131455399,0.0,0.107981220657277,0.0,0.8177777777777778,0.8875739644970414,0.5492957746478874,0.22535211267605634,0.22535211267605634,51.0,0.2300469483568075,0.043722697056030393,140.20707755088796,0.002631029013175182,0.5919815279644158,0.980088114475923,0.0,0.5753424657534246,0.14222222222222222,0.26222222222222225,0.3288888888888889,0.6711111111111111,0.7688888888888888,0.7688888888888888,0.7514792899408284,0.834319526627219,0.834319526627219,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,2814,0.9702966666666667,-2.611559961080551,0.4444444444444444,206,0.48058252427184467,0.08737864077669903,0.043689320388349516,0.1553398058252427,0.0,0.8444444444444444,0.9230769230769231,0.6116504854368932,0.17475728155339806,0.21359223300970873,19.0,0.10679611650485436,0.050452674897119326,130.338666296005,0.003375820947873904,0.7595597132716284,0.9330065640622921,0.014563106796116505,0.6458333333333334,0.13333333333333333,0.24,0.3333333333333333,0.6444444444444445,0.7333333333333333,0.8355555555555556,0.7337278106508875,0.7810650887573964,0.9171597633136095,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,3000,0.9683333333333334,-2.50105171585083,0.37777777777777777,186,0.45161290322580644,0.08602150537634409,0.0,0.14516129032258066,0.0,0.8844444444444445,0.9881656804733728,0.5376344086021505,0.1989247311827957,0.26344086021505375,9.0,0.026881720430107527,0.04808080808080808,120.28620681762682,0.0031037085897917334,0.69833443270314,0.9961529948944956,0.021505376344086023,0.7796610169491526,0.1288888888888889,0.20444444444444446,0.3111111111111111,0.5244444444444445,0.5955555555555555,0.8,0.6390532544378699,0.7337278106508875,0.9230769230769231,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,3176,0.9664755555555555,-2.5104769854545594,0.29777777777777775,176,0.375,0.10795454545454546,0.0,0.1875,0.0,0.7866666666666666,0.8875739644970414,0.48295454545454547,0.23295454545454544,0.2840909090909091,17.0,0.14772727272727273,0.03666666666666667,100.23311414718603,0.002926511221656665,0.6584650248727496,0.9983358339840145,0.005681818181818182,0.7017543859649122,0.10222222222222223,0.23555555555555555,0.29333333333333333,0.4444444444444444,0.7466666666666667,0.7866666666666666,0.5207100591715976,0.8520710059171598,0.8875739644970414,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,3426,0.9638366666666667,-3.3912474436759967,0.30666666666666664,250,0.272,0.2,0.0,0.22,0.0,0.6444444444444445,0.6923076923076923,0.472,0.244,0.284,25.0,0.336,0.030222222222222216,141.1071185111997,0.0021417928833847937,0.4819033987615786,0.9976568542494925,0.02,0.5263157894736842,0.09777777777777778,0.2,0.27111111111111114,0.39555555555555555,0.5866666666666667,0.6311111111111111,0.46745562130177515,0.6804733727810651,0.6923076923076923,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,3658,0.9613877777777777,-2.4182300992012022,0.4177777777777778,232,0.40086206896551724,0.12931034482758622,0.0,0.125,0.0,0.8044444444444444,0.8757396449704142,0.5301724137931034,0.21120689655172414,0.25862068965517243,31.0,0.14655172413793102,0.04133333333333333,140.05933427810658,0.002951130215374326,0.6640042984592233,0.9974750584585048,0.004310344827586207,0.7341772151898734,0.10666666666666667,0.24,0.3111111111111111,0.3511111111111111,0.6711111111111111,0.7333333333333333,0.42011834319526625,0.7455621301775148,0.8284023668639053,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,3845,0.9594138888888889,-1.3193536024093624,0.4311111111111111,187,0.5133689839572193,0.058823529411764705,0.0,0.11229946524064172,0.0,0.9377777777777778,0.9763313609467456,0.5721925133689839,0.18181818181818182,0.24598930481283424,7.0,0.0106951871657754,0.05754629629629629,120.5462247848509,0.003539444453181134,0.7963750019657552,0.9930410193195148,0.03208556149732621,0.9152542372881356,0.12,0.2311111111111111,0.3333333333333333,0.5066666666666667,0.7333333333333333,0.8044444444444444,0.6745562130177515,0.8284023668639053,0.8994082840236687,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,4066,0.9570811111111112,-4.936199926853181,0.39111111111111113,221,0.3936651583710407,0.1085972850678733,0.09049773755656108,0.12217194570135746,0.0,0.8133333333333334,0.8698224852071006,0.5927601809954751,0.17647058823529413,0.23076923076923078,46.0,0.248868778280543,0.04315108759553204,140.28761835098254,0.002756242291456355,0.6201545155776798,0.9222661779306129,0.004524886877828055,0.5873015873015873,0.12,0.2311111111111111,0.3377777777777778,0.48444444444444446,0.7066666666666667,0.8133333333333334,0.6094674556213018,0.7810650887573964,0.8698224852071006,0.06362473554909229,0.06362473554909229,-65.81592469451428,0.035555555555555556,108.4,0.0,1.0,0.07063109452736319,0.0,0.9293689054726368,0.0,0.0032782515991471215,0.22222222222222224,0.2662721893491124,1.0,0.0,0.0,101.4,0.8789181236673775,0.006585185185185184,95.77642566204055,0.0003293825679460758,0.07411107778786705,0.26902344404617884,0.0,0.0,0.035555555555555556,0.035555555555555556,nan,0.22222222222222224,0.22222222222222218,nan,0.2662721893491124,0.26627218934911245,nan,-59.75608350169658,0.035555555555555556,103.3,0.0,1.0,0.07287276477297491,0.0,0.927127235227025,0.0,0.00418579179296467,0.22222222222222224,0.2662721893491124,1.0,0.0,0.0,96.3,0.8750752603891858,0.006844444444444445,91.68841430187219,0.00034825944822670354,0.07835837585100829,0.27268119833945004,0.0,0.0,0.035555555555555556,0.035555555555555556,nan,0.22222222222222224,0.2222222222222222,nan,0.2662721893491124,0.26627218934911245,nan,0.3861433267587114
